,epa_registration_number,product_name,qtty_used_units,date_of_application,county_code,address,municipality,zip_code_dosage_rate,place,qtty_used,units
0,000524-00579,ROUNDUP PROMAX,177 ML,42859,58,Orchard Beach Rd/Park Dr,Bronx,10461 1.5 percent,Orchard Beach,177,ML
1,000524-00579,ROUNDUP PROMAX,250 ML,42859,58,Orchard Beach Rd/Park Dr,Bronx,10461 3 percent,Orchard Beach,250,ML
2,000524-00579,ROUNDUP PROMAX,29.5 ML,42865,58,Bedford Bark Blvd/Southern Blvd,Bronx,10458 1.5 percent,Greenstreet,5,ML
3,000524-00579,ROUNDUP PROMAX,118 ML,42865,58,Goulden Ave/Reservoir Ave,Bronx,10468 1.5 percent,Greenstreet,118,ML
4,000524-00579,ROUNDUP PROMAX,14.75 ML,42865,58,Grand Concourse/E Mosholu Pkwy,Bronx,10458 1.5 percent,Greenstreet,75,ML
5,000524-00579,ROUNDUP PROMAX,29.5 ML,42865,58,Irwin Ave/Riverdale Ave,Bronx,10463 1.5 percent,Greenstreet,5,ML
6,000524-00579,ROUNDUP PROMAX,29.5 ML,42865,58,Van Cortlandt Park E/242 St,Bronx,10470 1.5 percent,van Cortlandt Park Nursery Rd,5,ML
7,000524-00579,ROUNDUP PROMAX,14.75 ML,42865,58,Van Cortlandt Park E/E Mosholu Pkwy,Bronx,10458 1.5 percent,Greenstreet,75,ML
8,000524-00579,ROUNDUP PROMAX,18 OZ,42866,58,Sedgwick Ave / Dickerson Ave,Bronx,10463 1.5 percent,Sedgwick Malls Greenstreets,18,OZ
9,000524-00579,ROUNDUP PROMAX,60 ML,42866,58,Van Cortlandt Park S/Broadway/W 242 St,Bronx,10471 1.5 percent,Van Cortlandt Park Broadway Malls,60,ML
10,000524-00579,ROUNDUP PROMAX,60 ML,42866,58,Van Cortlandt Park South/Broadway,Bronx,10471 1.5 percent,Van Cortlandt Park Tail,60,ML
11,000524-00579,ROUNDUP PROMAX,12 OZ,42882,58,100 City Island Rd,Bronx,10464 3 percent,Clay pile,12,OZ
12,000524-00579,ROUNDUP PROMAX,6 OZ,42883,58,100 City Island Rd,Bronx,10464 3 percent,Road curbing,6,OZ
13,000524-00579,ROUNDUP PROMAX,2 OZ,42883,58,Bailey Ave/E 234 St to E 238 St,Bronx,10468 1.5 percent,Bailey Playground,2,OZ
