,epa_registration_number,product_name,qtty_used,units,dosage,place,date_of_application,address,municipality,zip_code
0,524-579,Round Up Pro Max,70.4,FL,2.20%,Holocaust Memorial Park,9/27/2018,West End Ave/Shore Blvd/Emmons ave,Kings,11235
1,524-579,Round Up Pro Max,320.0,FL,3.33%,Holocaust Memorial Park,05/25/2018,West End Ave/ Neptune Ave/Shore Boulevard,Kings,11235
2,524-579,Round Up Pro Max,480.0,FL,3.00%,Oriental Blvd Malls,7/18/2018,Oriental Blvd/West End Avenue/Oxford St,Kings,11235
3,524-579,Round Up Pro Max,16.0,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/Canarsie Rd/E 95 St,Kings,11236
4,524-579,Round Up Pro Max,16.0,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/E 91st St/E 92TH St,Kings,11236
5,524-579,Round Up Pro Max,16.0,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/ E 92ND St/ E 93rd St,Kings,11236
6,524-579,Round Up Pro Max,16.0,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/ E 93rd St / Canarsie Rd,Kings,11236
7,524-579,Round Up Pro Max,16.0,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/E 95TH St/ E 96TH St,Kings,11236
8,524-579,Round Up Pro Max,64.0,FL,3.00%,Greenstreet,8/18/2018,E New York Ave/Alabama Ave/Williams Ave,Kings,11207
9,524-579,Round Up Pro Max,9.6,FL,3.00%,Greenstreet,08/12/2018,Jamaica Ave/Bradford St/Arlington St,Kings,11207
10,524-579,Round Up Pro Max,9.6,FL,3.00%,Greenstreet,08/12/2018,Conduit Blvd/Crescent St/Glenmore Ave,Kings,11208
11,524-579,Round Up Pro Max,48.0,FL,3.00%,Greenstreet,8/18/2018,Conduit Blvd/McKinley Ave/Wilson St,Kings,11208
12,524-579,Round Up Pro Max,16.0,FL,2.50%,Greenstreet,6/16/2018,Fulton St/E New York Ave/Herkimer st,Kings,11207
13,524-579,Round Up Pro Max,48.0,FL,3.00%,Pritchard Square Mall,07/18/2018,Corbin Pl/Oriental Blvd/Brighton Beach Ave,Kings,11235
14,524-579,Round Up Pro Max,3.2,FL,1.67%,Greenstreet,7/10/2018,Remsen Ave/Rutland Rd/52nd St,Kings,11203
15,524-579,Round Up Pro Max,128.0,FL,3.00%,Greenstreet,8/18/2018,Ave D/Dewitt Ave/Van Sinderen,Kings,11236
16,524-579,Round Up Pro Max,1.6,FL,2.50%,Greenstreet,07/10/2018,Remsen Ave/Rutland Rd/E. 52nd St,Kings,11203
17,524-579,Round Up Pro Max,16.0,FL,2.50%,Greenstreet,6/24/2018,Williamsburg St West/Kent Ave/Wythe Ave,Kings,11249
18,524-579,Round Up Pro Max,80.0,FL,1.67%,Greenstreet,7/10/2018,E55 St/Kings Hwy/ Clarendon Rd,Kings,11203
19,524-579,Round Up Pro Max,80.0,FL,2.50%,Greenstreet,07/10/2018,Kings Hwy/E. 54th St/Ave D,Kings,11203
20,524-579,Round Up Pro Max,16.0,FL,1.67%,Greenstreet,7/10/2018,Kings Hwy/E53 St/ Foster Ave,Kings,11203
