,epa_registration_number,product_name,qtty_used_units,date_of_application,address,municipality,zip_code,dosage_rate_place,dosage_rate,place
0,52400579,Round Up Pro Max,7 FL,5/2/2018,"Q357B01 ""102 st, 62 ave & Yellowstone Blvd""",Rego Park,11375,2.00% Barrier Playground,2.00%,Barrier Playground
1,52400579,Round Up Pro Max,12.5 FL,5/24/2018,Q121 Liberty ave and 172 St.,Jamaica,11433,2 Detective Keith L Williams Park,2,Detective Keith L Williams Park
2,52400579,Round Up Pro Max,256 FL,5/14/2018,"Q220C ""Van Wyck Exwy, 116 Ave, 140 St, 115 Ave""",Jamaica,11436,2 Dr. Charles R. Drew Park,2,Dr. Charles R. Drew Park
3,52400579,Round Up Pro Max,1 FL,5/3/2018,Q304 Austin St / 76 ave & 76 Dr,Forest Hills,11375,2 Ehrenreich-Austin Playground,2,Ehrenreich-Austin Playground
4,52400579,Round Up Pro Max,1 FL,5/3/2018,"QT07 ""Queens Blvd, 67 rd, 102 st""",Forest Hills,11375,2.00% Federoff Triangle,2.00%,Federoff Triangle
5,52400579,Round Up Pro Max,8 FL,5/15/2018,Q015-ZN08 (s) Park Lane South To (w) Cypress Hills Cemetery,Kew Gardens,11421,2 Forest Park,2,Forest Park
6,52400579,Round Up Pro Max,12.5 FL,5/24/2018,Q359 202 St & Jamaica Ave S/s,Hollis,11423,2 Haggerty Park,2,Haggerty Park
7,52400579,Round Up Pro Max,37.5 FL,5/23/2018,"Q012B ""215 Pl, S/o 32 Ave""",Bayside,11361,2 John Golden Park,2,John Golden Park
8,52400579,Round Up Pro Max,192 FL,5/11/2018,"Q010A ""Kingsbury Ave, Cross Island Pkwy serv. Rd """,Bayside,11364,1.5 Little Bay Park,1.5,Little Bay Park
9,52400579,Round Up Pro Max,12.5 FL,5/24/2018,Q351 183 Pl & Henderson Ave,Hollis,11423,2 Peters Field,2,Peters Field
10,52400579,Round Up Pro Max,16 FL,5/2/2018,"Q357B ""LIE, 99 St & 62Ave""",Rego Park,11375,2.00% Real Good Park,2.00%,Real Good Park
11,52400579,Round Up Pro Max,12.5 FL,5/24/2018,"Q051 ""Merrick Blvd, 173 Pl, Sayers Ave""",St Albans,11412,2 St. Albans Park,2,St. Albans Park
12,52400579,Round Up Pro Max,2 FL,5/3/2018,Q099-01 62nd dr & Grand Central Pkwy serv. Rd,Flushing Meadows,11375,2 World's Fair Playground,2,World's Fair Playground
13,52400579,Round Up Pro Max,1 FL,8/29/2018,"Q021 ""Horace Harding Expwy, Grand Central Pkwy""",Fresh Meadows,11365,1.50% Cunningham Park,1.50%,Cunningham Park
14,52400579,Round Up Pro Max,12 FL,6/5/2018,"Q086-01 ""Bayside Ave, 25 Ave, 149 To 150 Sts""",Flushing,11354,1.5 Leonardo Ingravallo Playground,1.5,Leonardo Ingravallo Playground
15,52400579,Round Up Pro Max,1.5 FL,7/19/2018,"Q021 ""Horace Harding Expwy, Grand Central Pkwy""",Queens,11364,5 Cunningham Park,5,Cunningham Park
