,epa_registration_number,product_name,qtty_used,units,rate,date_of_application_place,address,zip_code,municipality,date_of_application,place
0,62719-324,GLYPRO(RODEO),1.0,FL,2FL/G,6/12/2018 New Springville Greenway,Park Drive North Mulberry Ave.Draper Pl.,10314,Richmond,6/12/2018,New Springville Greenway
1,524-579,RoundUp Pro Max,13.0,FL,6FL/G,8/5/2018 Lyons Pool Recreation Center,20 Victory Blvd,10301,Richmond,8/5/2018,Lyons Pool Recreation Center
2,524-579,RoundUp Pro Max,1.0,FL,2FL/G,6/6/2018 Blue Heron Park,Poillon Ave. Amboy Rd.Allegro St.,10312,Richmond,6/6/2018,Blue Heron Park
3,62719-324,GLYPRO (RODEO),2.0,FL,2FL/G,8/23/2018 Clove Lakes Park,Martling Ave.Slosson Ave.Brooks Pond Rd.,10301,Richmond,8/23/2018,Clove Lakes Park
4,524-579,RoundUp Pro Max,2.0,FL,2FL/G,6/6/2018 Corporal Thompson Park,Henderson Ave.Chappell St.Broadway,10310,Richmond,6/6/2018,Corporal Thompson Park
5,524-579,RoundUp Pro Max,6.0,FL,2FL/G,5/14/2018 Graniteville Quarry Park,Forest Ave.Matthew Pl. Wilcox,10303,Richmond,5/14/2018,Graniteville Quarry Park
6,524-579,RoundUp Pro Max,28.8,FL,4FL/G,8/26/2018 Greenstreet,Hylan Blvd. Tompkins Ave. FoxHill Terr.,10305,Richmond,8/26/2018,Greenstreet
7,524-579,RoundUp Pro Max,3.2,FL,4FL/G,8/26/2018 Greenstreet,Hylan Blvd. Reynolds St. Maryland Ln.,10305,Richmond,8/26/2018,Greenstreet
8,524-579,RoundUp Pro Max,12.8,FL,4FL/G,8/26/2018 Greenstreet,Hylan Blvd. Reynolds St. Maryland Ln.,10305,Richmond,8/26/2018,Greenstreet
9,524-579,RoundUp Pro Max,12.8,FL,4FL/G,8/27/2018 Greenstreet,Hylan Blvd. Maryland Ln. Kay Pl.,10305,Richmond,8/27/2018,Greenstreet
10,524-579,RoundUp Pro Max,19.2,FL,4FL/G,8/27/2018 Greenstreet,Hylan Blvd. Maryland Ln. Kay Pl.,10305,Richmond,8/27/2018,Greenstreet
11,524-579,RoundUp Pro Max,19.2,FL,4FL/G,9/19/2018 Greenstreet,Hylan Blvd. Reynolds St. FoxHill Terr.,10305,Richmond,9/19/2018,Greenstreet
12,524-579,RoundUp Pro Max,51.6,FL,4FL/G,9/20/2018 Greenstreet,Hylan Blvd. Reynolds St. FoxHill Terr.,10305,Richmond,9/20/2018,Greenstreet
13,524-579,RoundUp Pro Max,13.2,FL,4FL/G,9/21/2018 Greenstreet,Hylan Blvd. Reynolds St. FoxHill Terr.,10305,Richmond,9/21/2018,Greenstreet
14,524-579,RoundUp Pro Max,57.6,FL,4FL/G,9/30/2018 Greenstreet,Hylan Blvd. Reynolds St. FoxHill Terr.,10305,Richmond,9/30/2018,Greenstreet
15,524-579,RoundUp Pro Max,6.4,FL,5FL/G,7/24/2018 South Beach Zone 2,Father Capodanno Blvd. Sand Ln. Seaview Ave.,10305,Richmond,7/24/2018,South Beach Zone 2
16,62719-324,GLYPRO(RODEO),10.0,FL,2FL/G,8/8/2018 William T. Davis Wildlife Refuge,890 Travis Ave,10314,Richmond,8/8/2018,William T. Davis Wildlife Refuge
17,62719-324,GLYPRO(RODEO),60.5,FL,6.5FL/G,8/10/2018 William T. Davis Wildlife Refuge,890 Travis Ave,10314,Richmond,8/10/2018,William T. Davis Wildlife Refuge
18,524-579,RoundUp Pro Max,6.0,FL,2FL/G,6/6/2018 Clove Lakes Park,21 Slosson Ave.,10301,Richmond,6/6/2018,Clove Lakes Park
19,524-579,RoundUp Pro Max,9.0,FL,2FL/G,6/6/2018 Clove Lakes Park,Victory Blvd. Labau Ave. Royal Oak Rd.,10301,Richmond,6/6/2018,Clove Lakes Park
20,524-579,RoundUp Pro Max,6.0,FL,2FL/G,8/6/2018 Clove Lakes Park,21 Slosson Ave.,10301,Richmond,8/6/2018,Clove Lakes Park
21,524-579,RoundUp Pro Max,6.0,FL,2FL/G,5/14/2018 Graniteville Quarry Park,Forest Ave. Matthew Pl. Wilcox,10303,Richmond,5/14/2018,Graniteville Quarry Park
22,524-579,RoundUp Pro Max,4.0,FL,2FL/G,8/23/2018 Silver Lake Park,Victory Blvd. SilverLake Park Rd. Theresa Pl.,10301,Richmond,8/23/2018,Silver Lake Park
23,62719-324,GLYPRO(RODEO),13.0,FL,6.5FL/G,8/9/2018 William T. Davis Wildlife Refuge,890 Travis Ave.,10314,Richmond,8/9/2018,William T. Davis Wildlife Refuge
24,62719-324,GLYPRO(RODEO),19.5,FL,6.5FL/G,8/10/2018 William T. Davis Wildlife Refuge,890 Travis Ave.,10314,Richmond,8/10/2018,William T. Davis Wildlife Refuge
