,epa_registration_number,product_name,qtty_used_units,date_of_application,county_code,address,municipality,zip_code,rate,place,qtty_used,units
0,062719-00556,Accord XRT II,1000 ML,4/23/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Riverdale Park,1000,ML
1,062719-00556,Accord XRT II,600 ML,4/23/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Riverdale Park,600,ML
2,062719-00556,Accord XRT II,450 ML,4/24/2018,58,Payson Ave and Dyckman St,New York,10034,2%,Raoul Wallenberg Forest,450,ML
3,062719-00556,Accord XRT II,400 ML,4/30/2018,58,Holten and Melville,Staten Island,10309,2%,Riverdale Park,400,ML
4,062719-00556,Accord XRT II,1000 ML,5/1/2018,58,Payson Ave and Dyckman St,New York,10034,2%,Riverdale Park,1000,ML
5,062719-00556,Accord XRT II,1000 ML,5/2/2018,58,Hylan and Cornelia,Staten Island,10309,2%,Riverdale Park,1000,ML
6,062719-00556,Accord XRT II,1400 ML,5/3/2018,60,Park Dr and City Island Rd,Bronx,10464,2%,Inwood Hill Park,1400,ML
7,062719-00556,Accord XRT II,600 ML,5/11/2018,60,Park Dr and City Island Rd,Bronx,10464,2%,Inwood Hill Park,600,ML
8,062719-00556,Accord XRT II,800 ML,5/30/2018,60,Chester Ave and Irvington,Staten Island,10312,2%,Inwood Hill Park,800,ML
9,062719-00556,Accord XRT II,1000 ML,6/5/2018,60,Chester Ave and Irvington,Staten Island,10312,2%,Inwood Hill Park,1000,ML
10,062719-00556,Accord XRT II,600 ML,6/6/2018,60,Jewel Ave and Park Drive East,Flushing,11367,3%,Inwood Hill Park,600,ML
11,062719-00556,Accord XRT II,600 ML,6/8/2018,58,Slosson and Utter,Staten Island,10314,3%,Raoul Wallenberg Forest,600,ML
12,062719-00556,Accord XRT II,400 ML,6/14/2018,58,Lamberts and Richmond,Staten Island,10314,2%,Riverdale Park,400,ML
13,062719-00556,Accord XRT II,400 ML,6/14/2018,58,Hylan and Buffalo,Staten Island,10306,2%,Riverdale Park,400,ML
14,062719-00556,Accord XRT II,1000 ML,6/20/2018,58,Lamberts and Richmond,Staten Island,10314,5%,Riverdale Park,1000,ML
15,062719-00324,Accord Concentrate,1000 ML,6/21/2018,58,Payson Ave and Beak St,New York,10034,5%,Riverdale Park,1000,ML
16,062719-00324,Accord Concentrate,1000 ML,6/21/2018,58,73rd ave & 210th street,Oakland Gardens,11364,5%,Riverdale Park,1000,ML
17,062719-00556,Accord XRT II,200 ML,7/9/2018,60,Francis Lewis Blvd & Union tpke,Queens Village,11427,2%,Inwood Hill Park,200,ML
18,062719-00556,Accord XRT II,600 ML,7/9/2018,60,Park Dr and City Island Rd,Bronx,10464,2%,Inwood Hill Park,600,ML
19,062719-00556,Accord XRT II,600 ML,7/9/2018,60,Orchard Beach Rd and Park Dr,Bronx,10464,2%,Inwood Hill Park,600,ML
20,062719-00324,Accord Concentrate,1000 ML,7/10/2018,58,Payson Ave and Beak St,New York,10034,5%,Riverdale Park,1000,ML
21,062719-00324,Rodeo,200 ML,10/1/2018,58,Hylan and Buffalo,Staten Island,10306,2%,Riverdale Park,200,ML
22,062719-00324,Rodeo,200 ML,10/3/2018,58,Park Dr and City Island Rd,Bronx,10464,2%,Raoul Wallenberg Forest,200,ML
23,062719-00324,Accord Concentrate,100 ML,12/19/2018,58,232nd & Palisade Ave,Bronx,10463,2%,Riverdale Park,100,ML
24,062719-00556,Accord XRT II,600 ML,4/30/2018,61,73rd ave& 210st,Oakland Gardens,11364,2%,Cunningham Park,600,ML
25,062719-00556,Accord XRT II,400 ML,5/1/2018,61,70th Ave and Northern Blvd,Little Neck,11362,2%,Alley Pond Park,400,ML
26,062719-00556,Accord XRT II,600 ML,5/2/2018,61,73rd ave & 210 st,Oakland Gardens,11364,2%,Cunningham Park,600,ML
27,062719-00556,Accord XRT II,200 ML,5/3/2018,61,Francis Lewis Blvd & Union tpke,Queens Village,11427,2%,Cunningham Park,200,ML
28,062719-00556,Accord XRT II,200 ML,5/3/2018,61,234th St & Northern Blvd,Little Neck,11362,2%,Alley Pond Park,200,ML
29,062719-00556,Accord XRT II,600 ML,5/21/2018,61,Jewel Ave and Park Drive East,Flushing,11367,2%,Flushing Meadows Corona Park,600,ML
30,062719-00556,Accord XRT II,400 ML,5/24/2018,61,73rd ave & 210th street,Oakland Gardens,11364,2%,Cunningham Park,400,ML
31,062719-00556,Accord XRT II,400 ML,5/30/2018,61,Francis Lewis Blvd & Union tpke,Queens Village,11427,2%,Cunningham Park,400,ML
32,062719-00556,Accord XRT II,400 ML,6/6/2018,61,73rd ave &210th st,Oakland Gardens,11364,2%,Cunningham Park,400,ML
33,062719-00556,Accord XRT II,200 ML,6/12/2018,61,Winchester Blvd & Grand Central Pkwy,Oakland Gardens,11364,2%,Alley Pond Park,200,ML
34,062719-00556,Accord XRT II,100 ML,4/18/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,100,ML
35,062719-00556,Accord XRT II,300 ML,4/23/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,300,ML
36,062719-00324,Accord Concentrate,300 ML,5/1/2018,58,Orchard Beach Rd and Park Dr,Bronx,10464,2%,Pelham Bay Park,300,ML
37,062719-00324,Accord Concentrate,500 ML,5/2/2018,58,Spaulding Lane & Palisades Ave,Bronx,10471,2%,Pelham Bay Park,500,ML
38,062719-00324,Accord Concentrate,500 ML,5/21/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,500,ML
39,062719-00324,Accord Concentrate,500 ML,5/21/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,500,ML
40,062719-00324,Accord Concentrate,360 ML,5/24/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,360,ML
41,062719-00324,Accord Concentrate,300 ML,5/29/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,300,ML
42,062719-00324,Accord Concentrate,400 ML,5/30/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,400,ML
43,062719-00324,Accord Concentrate,150 ML,6/6/2018,58,225th street and 149th ave,Springfield Gardens,11413,1%,Pelham Bay Park,150,ML
44,062719-00324,Accord Concentrate,100 ML,6/6/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,100,ML
45,062719-00324,Accord Concentrate,300 ML,6/8/2018,58,Spaulding Lane & Palisades Ave,Bronx,10471,2%,Pelham Parkway,300,ML
46,062719-00324,Accord Concentrate,150 ML,6/14/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,150,ML
47,062719-00324,Accord Concentrate,250 ML,6/19/2018,58,225th street and 149th ave,Springfield Gardens,11413,1%,Pelham Bay Park,250,ML
48,062719-00324,Accord Concentrate,200 ML,6/20/2018,58,225th street and 149th ave,Springfield Gardens,11413,1%,Pelham Bay Park,200,ML
49,062719-00324,Accord Concentrate,100 ML,6/25/2018,58,225th street and 149th ave,Springfield Gardens,11413,1%,Pelham Bay Park,100,ML
50,062719-00324,Accord Concentrate,90 ML,7/20/2018,58,225th street and 149th ave,Springfield Gardens,11413,3%,Pelham Bay Park,90,ML
