,dosage_rate,place,qtty_used,units,epa_registration_number,product_name,date_of_application,address,municipality,zip_code
0,3%,City Hall Park,16,FL,000524‐00579,ROUNDUP PROMAX,6/28/2017,Park Row  Murray St,New York,10007
1,3%,Canal Park,32,FL,000524‐00579,ROUNDUP PROMAX,8/25/2017,Vesey St  West Side Highway,New York,10007
2,3%,Capsota Park,8,FL,000524‐00579,ROUNDUP PROMAX,8/25/2017,Canal St  West Side Highway,New York,10013
3,3%,Millenial Park,8,FL,000524‐00579,ROUNDUP PROMAX,8/29/2017,Canal St  Varick Street,New York,10013
4,3%,City Hall Park,8,FL,000524‐00579,ROUNDUP PROMAX,9/1/2017,Park Row  Murray St,New York,10007
5,3%,Green Street,8,FL,000524‐00579,ROUNDUP PROMAX,9/1/2017,Barkley  Broadway,New York,10007
6,0.01%,Theodore Roosevelt Park,25,GM,012455‐00086,CONTRAC RODENTICIDE PLACE PACS,12/21/2017,Central Park West and 79th Street,New York,10024
7,0.01%,Theodore Roosevelt Park,25,GM,012455‐00086,CONTRAC RODENTICIDE PLACE PACS,12/21/2017,Central Park West and 79th Street,New York,10024
8,0.01%,Theodore Roosevelt Park,25,GM,012455‐00086,CONTRAC RODENTICIDE PLACE PACS,12/21/2017,Central Park West and 79th Street,New York,10024
9,0.01%,Theodore Roosevelt Park,25,GM,012455‐00086,CONTRAC RODENTICIDE PLACE PACS,12/21/2017,Central Park West and 79th Street,New York,10024
10,0.01%,Theodore Roosevelt Park,25,GM,012455‐00086,CONTRAC RODENTICIDE PLACE PACS,12/21/2017,Central Park West and 79th Street,New York,10024
11,0.01%,Theodore Roosevelt Park,25,GM,012455‐00086,CONTRAC RODENTICIDE PLACE PACS,12/21/2017,Central Park West and 79th Street,New York,10024
12,3%,Anounciation park,4,FL,000524‐00579,ROUNDUP PROMAX,8/13/2017,135th St  Amsterdam Ave,New York,10031
13,3%,St. Nicholas Park betwen 141 and 128th Streets,4,FL,000524‐00579,ROUNDUP PROMAX,8/13/2017,St Nicholas Ave  St. Nicholas terr,New York,10030
14,3%,Asser Levy,8,FL,000524‐00579,ROUNDUP PROMAX,7/8/2017,23‐24th Sts  FDR Drive,New York,10010
15,3%,Murphy Brothers Plgd,96,FL,000524‐00579,ROUNDUP PROMAX,7/8/2017,17th St  Ave C,New York,10009
16,3%,Bellview South Plgd Perimeter,56,FL,000524‐00579,ROUNDUP PROMAX,7/8/2017,1st Ave  Mount Carmen Place,New York,10009
17,3%,St Nicholas Plgd South Perimeter,8,FL,000524‐00579,ROUNDUP PROMAX,8/4/2017,127‐129th ST  7th Ave,New York,10027
18,3%,St Nicholas Plgd North Perimeter,8,FL,000524‐00579,ROUNDUP PROMAX,8/4/2017,129‐130th ST  7th Ave,New York,10027
19,3%,William McCray Perimeter,8,FL,000524‐00579,ROUNDUP PROMAX,8/4/2017,138th St Btw Lenox  5th Ave,New York,10037
20,3%,Renaissance Plgd Perimeter,8,FL,000524‐00579,ROUNDUP PROMAX,8/4/2017,144‐143 btw 7th  8th Ave,New York,10030
21,3%,Colnol Young Plgd Perimeter,2,FL,000524‐00579,ROUNDUP PROMAX,8/4/2017,144‐ Lenox,New York,10037
22,3%,Cherry Tree Plgd Perimeter,4,FL,000524‐00579,ROUNDUP PROMAX,9/8/2017,99th‐ 100th st  3rd Ave,New York,10029
23,3%,Mae Grant Plgd Perimeter,56,FL,000524‐00579,ROUNDUP PROMAX,9/8/2017,104th St Btw Park Ave  Madison Ave,New York,10029
24,3%,Peter Minuet Plgd Perimeter,7,FL,000524‐00579,ROUNDUP PROMAX,9/8/2017,108‐109th St Btw Park Ave  Madison Ave,New York,10029
25,3%,Marx Brothers,12,FL,000524‐00579,ROUNDUP PROMAX,9/8/2017,96‐97th St  2nd Ave,New York,10029
26,3%,Ps 155 Plgd Perimeter,56,FL,000524‐00579,ROUNDUP PROMAX,9/8/2017,117‐118th St  1st Ave,New York,10029
27,3%,Houston Malls,1,FL,000524‐00579,ROUNDUP PROMAX,9/16/2017,Houston St btw Chrystie  Allen ST,New York,10009
28,3%,Houston Malls,94,FL,000524‐00579,ROUNDUP PROMAX,9/16/2017,Houston St btw Essex St  Allen ST,New York,10009
29,3%,Houston Malls,56,FL,000524‐00579,ROUNDUP PROMAX,9/16/2017,Houston St btw Essex St  Clinton ST,New York,10009
30,3%,Morning Side Park Lawn,2,FL,000524‐00579,ROUNDUP PROMAX,9/16/2017,112‐114th  Morning Side Dr,New York,10026
