,epa_registration_number,product_name,date_of_application,municipality,zip_code,county_code,address,dosage_rate,place,qtty_used,units
0,062719‐00556,Accord XRT II,6/1/2017,Queens,11361,61,Cloverdale Blvd and 46th Ave,3%,Alley Pond Park,2400,ML
1,062719‐00556,Accord XRT II,5/18/2017,Queens,11691,61,Pt breeze and plunkett,2%,Jamaica Bay Park,600,ML
2,062719‐00556,Accord XRT II,6/5/2017,Queens,11691,61,Pt. breeze andPlunkett,5%,Jamaica Bay Park,1000,ML
3,062719‐00556,Accord XRT II,6/5/2017,Queens,11691,61,Pt. breeze and bayswater ct,2%,Jamaica Bay Park,200,ML
4,062719‐00556,Accord XRT II,5/18/2017,Queens,11691,61,Breeze pt and Plunkett,4%,Jamaica Bay Park,1200,ML
5,062719‐00324,Accord Concentrate,4/19/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,400,ML
6,062719‐00324,Accord Concentrate,4/19/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,600,ML
7,062719‐00324,Accord Concentrate,4/24/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,400,ML
8,062719‐00324,Accord Concentrate,4/24/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,200,ML
9,062719‐00324,Accord Concentrate,5/12/2017,Bronx,10464,58,City Island Rd,2%,Pelham Bay Park,100,ML
10,062719‐00324,Accord Concentrate,5/17/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,500,ML
11,062719‐00324,Accord Concentrate,5/18/2017,Bronx,10464,58,Park Drive,2%,Poe Park,200,ML
12,062719‐00324,Accord Concentrate,5/18/2017,Bronx,10464,58,Park Drive,2%,Pelham Bay Park,200,ML
13,062719‐00324,Accord Concentrate,5/19/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,300,ML
14,062719‐00324,Accord Concentrate,6/7/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,300,ML
15,062719‐00324,Accord Concentrate,6/8/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,300,ML
16,062719‐00324,Accord Concentrate,6/8/2017,Bronx,10464,58,Park Dr,1%,Pelham Bay Park,50,ML
17,062719‐00324,Accord Concentrate,6/14/2017,Bronx,10464,58,Park Dr,1%,Pelham Bay Park,300,ML
18,062719‐00324,Accord Concentrate,6/14/2017,Bronx,10464,58,Park Dr,1%,Pelham Bay Park,100,ML
19,062719‐00324,Accord Concentrate,6/21/2017,Bronx,10464,58,City Island Rd,2%,Pelham Bay Park,300,ML
20,062719‐00324,Accord Concentrate,7/26/2017,Bronx,10461,58,Burr Ave,5%,Pelham Parkway,300,ML
21,062719‐00324,Accord Concentrate,7/26/2017,Bronx,10461,58,Burr Ave,2%,Pelham Parkway,350,ML
22,062719‐00324,Accord Concentrate,7/26/2017,Bronx,10464,58,Park Dr,5%,Pelham Bay Park,50,ML
23,062719‐00324,Accord Concentrate,8/8/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,600,ML
24,062719‐00324,Accord Concentrate,4/18/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,300,ML
25,062719‐00324,Accord Concentrate,4/18/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,400,ML
26,062719‐00324,Accord Concentrate,4/18/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,200,ML
27,062719‐00324,Accord Concentrate,4/19/2017,Bronx,10461,58,Orchard Beach,2%,Pelham Bay Park,600,ML
28,062719‐00324,Accord Concentrate,4/24/2017,Bronx,10461,58,Orchard Beach,2%,Pelham Bay Park,600,ML
29,062719‐00324,Accord Concentrate,5/17/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,500,ML
30,062719‐00324,Accord Concentrate,5/17/2017,Bronx,10461,58,city island road,2%,Pelham Bay Park,500,ML
31,062719‐00324,Accord Concentrate,6/8/2017,Bronx,10464,58,Park Dr,2%,Pelham Bay Park,600,ML
32,062719‐00556,Accord XRT II,2/28/2017,Bronx,10471,58,260th and Broadway,2%,Van Cortlandt Park,100,ML
33,062719‐00556,Accord XRT II,6/21/2017,Bronx,10463,58,Palisade Ave & 240th St,2%,Riverdale Park,200,ML
34,062719‐00556,Accord XRT II,8/11/2017,Bronx,10463,58,Spaulding Lane,5%,Riverdale Park,1000,ML
35,062719‐00556,Accord XRT II,8/11/2017,Bronx,10463,58,spaulding ln &palisades ave,5%,Riverdale Park,2000,ML
36,062719‐00556,Accord XRT II,10/31/2017,Bronx,10461,58,Burr ave,5%,Pelham Parkway,1000,ML
37,062719‐00556,Accord XRT II,6/21/2017,Bronx,10463,58,Palisade Ave & 240st.,2%,Riverdale Park,300,ML
38,062719‐00556,Accord XRT II,10/31/2017,Bronx,10461,58,Burr ave,5%,Pelham Parkway,750,ML
39,062719‐00324,Rodeo,5/3/2017,Bronx,10467,58,Bronx River Parkway and Adee Ave,2%,Bronx Park,1200,ML
40,062719‐00324,Rodeo,10/3/2017,Bronx,10467,58,Burke Ave and Bronx River Parkway,3%,Bronx Park,2100,ML
41,062719‐00324,Rodeo,10/3/2017,Bronx,10467,58,Burke Ave and Bronx River Parkway,3%,Bronx Park,2700,ML
42,062719‐00324,Rodeo,10/5/2017,Bronx,10458,58,238th St,3%,Bronx Park,4500,ML
43,062719‐00556,Accord XRT II,4/17/2017,Brooklyn,11234,59,Flatbush and belt Pkwy,2%,Floyd Bennett Field,400,ML
44,062719‐00556,Accord XRT II,4/18/2017,Brooklyn,11234,59,Flatbush Ave,2%,Floyd Bennett Field,700,ML
45,062719‐00556,Accord XRT II,4/24/2017,Brooklyn,11234,59,Ave U and East 38 street,2%,Marine Park,800,ML
46,062719‐00556,Accord XRT II,4/27/2017,Brooklyn,11234,59,Avre U and East 38 street,2%,Marine Park,1200,ML
47,062719‐00556,Accord XRT II,5/16/2017,Brooklyn,11236,59,Seaview and 108,2%,Canarsie Park,400,ML
48,062719‐00556,Accord XRT II,5/16/2017,Brooklyn,11236,59,Seaview and 108 street,2%,Canarsie Park,600,ML
49,062719‐00556,Accord XRT II,5/17/2017,Brooklyn,11236,59,seaview and 108 street,2%,Canarsie Park,800,ML
50,062719‐00556,Accord XRT II,6/26/2017,Brooklyn,11236,59,Seaview and 108th street,2%,Canarsie Park,400,ML
51,062719‐00556,Accord XRT II,6/26/2017,Brooklyn,11236,59,Seaview and 108th st,2%,Canarsie Park,100,ML
52,062719‐00556,Accord XRT II,9/7/2017,Brooklyn,11236,59,End of Seaview ave,2%,Canarsie Park,400,ML
53,062719‐00556,Accord XRT II,4/17/2017,Brooklyn,11234,59,Flatbush ave,2%,Floyd Bennett Field,400,ML
54,062719‐00556,Accord XRT II,4/18/2017,Brooklyn,11234,59,Flatbush ave,2%,Floyd Bennett Field,500,ML
55,062719‐00556,Accord XRT II,4/24/2017,Brooklyn,11234,59,Ave U and East 38th Street,2%,Marine Park,1400,ML
56,062719‐00556,Accord XRT II,5/16/2017,Brooklyn,11236,59,Seaview ave and 108 st,2%,Canarsie Park,1300,ML
57,062719‐00556,Accord XRT II,5/17/2017,Brooklyn,11236,59,Seaview ave and 108  street,2%,Canarsie Park,1800,ML
58,062719‐00556,Accord XRT II,8/8/2017,Queens,11434,61,Merrick Blvd & Baisley Blvd,100%,Roy Wilkins Recreation Ce,200,ML
59,062719‐00556,Accord XRT II,4/19/2017,New York,10034,60,Whaleback,2%,Inwood Hill Park,600,ML
60,062719‐00556,Accord XRT II,5/15/2017,New York,10033,60,near Whaleback,2%,Inwood Hill Park,400,ML
61,062719‐00556,Accord XRT II,5/18/2017,New York,10033,60,Whaleback & HHPkwy,2%,Inwood Hill Park,400,ML
62,062719‐00556,Accord XRT II,6/7/2017,New York,10033,60,Indian Rd & HH Pkwy,2%,Inwood Hill Park,300,ML
63,062719‐00556,Accord XRT II,4/19/2017,New York,10034,60,payson ave & Dyckman st,2%,Inwood Hill Park,800,ML
64,062719‐00556,Accord XRT II,6/19/2017,Queens,11364,61,Cross Island Parkway and 73rd Ave,2%,Alley Pond Park,900,ML
65,062719‐00556,Accord XRT II,5/11/2017,Queens,11364,61,73rd and 210,2%,Cunningham Park,400,ML
66,062719‐00556,Accord XRT II,4/28/2017,Queens,11364,61,73 rd ave & 210st,2%,Cunningham Park,1400,ML
67,062719‐00556,Accord XRT II,5/11/2017,Queens,11364,61,73rd ave & 210 st,2%,Cunningham Park,800,ML
