EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,DATE OF APPLICATION,ADDRESS,MUNICIPALITY,ZIP CODE,DOSAGE PARK
062719‐00556,Accord XRT II,2400 ML,6/1/2017,61 Cloverdale Blvd and 46th Ave,Queens,11361,3% Alley Pond Park
062719‐00556,Accord XRT II,600 ML,5/18/2017,61 Pt breeze and plunkett,Queens,11691,2% Jamaica Bay Park
062719‐00556,Accord XRT II,1000 ML,6/5/2017,61 Pt. breeze andPlunkett,Queens,11691,5% Jamaica Bay Park
062719‐00556,Accord XRT II,200 ML,6/5/2017,61 Pt. breeze and bayswater ct,Queens,11691,2% Jamaica Bay Park
062719‐00556,Accord XRT II,1200 ML,5/18/2017,61 Breeze pt and Plunkett,Queens,11691,4% Jamaica Bay Park
062719‐00324,Accord Concentrate,400 ML,4/19/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,600 ML,4/19/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,400 ML,4/24/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,200 ML,4/24/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,100 ML,5/12/2017,58 City Island Rd,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,500 ML,5/17/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,200 ML,5/18/2017,58 Park Drive,Bronx,10464,2% Poe Park
062719‐00324,Accord Concentrate,200 ML,5/18/2017,58 Park Drive,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,300 ML,5/19/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,300 ML,6/7/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,300 ML,6/8/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,50 ML,6/8/2017,58 Park Dr,Bronx,10464,1% Pelham Bay Park
062719‐00324,Accord Concentrate,300 ML,6/14/2017,58 Park Dr,Bronx,10464,1% Pelham Bay Park
062719‐00324,Accord Concentrate,100 ML,6/14/2017,58 Park Dr,Bronx,10464,1% Pelham Bay Park
062719‐00324,Accord Concentrate,300 ML,6/21/2017,58 City Island Rd,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,300 ML,7/26/2017,58 Burr Ave,Bronx,10461,5% Pelham Parkway
062719‐00324,Accord Concentrate,350 ML,7/26/2017,58 Burr Ave,Bronx,10461,2% Pelham Parkway
062719‐00324,Accord Concentrate,50 ML,7/26/2017,58 Park Dr,Bronx,10464,5% Pelham Bay Park
062719‐00324,Accord Concentrate,600 ML,8/8/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,300 ML,4/18/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,400 ML,4/18/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,200 ML,4/18/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,600 ML,4/19/2017,58 Orchard Beach,Bronx,10461,2% Pelham Bay Park
062719‐00324,Accord Concentrate,600 ML,4/24/2017,58 Orchard Beach,Bronx,10461,2% Pelham Bay Park
062719‐00324,Accord Concentrate,500 ML,5/17/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00324,Accord Concentrate,500 ML,5/17/2017,58 city island road,Bronx,10461,2% Pelham Bay Park
062719‐00324,Accord Concentrate,600 ML,6/8/2017,58 Park Dr,Bronx,10464,2% Pelham Bay Park
062719‐00556,Accord XRT II,100 ML,2/28/2017,58 260th and Broadway,Bronx,10471,2% Van Cortlandt Park
062719‐00556,Accord XRT II,200 ML,6/21/2017,58 Palisade Ave & 240th St,Bronx,10463,2% Riverdale Park
062719‐00556,Accord XRT II,1000 ML,8/11/2017,58 Spaulding Lane,Bronx,10463,5% Riverdale Park
062719‐00556,Accord XRT II,2000 ML,8/11/2017,58 spaulding ln &palisades ave,Bronx,10463,5% Riverdale Park
062719‐00556,Accord XRT II,1000 ML,10/31/2017,58 Burr ave,Bronx,10461,5% Pelham Parkway
062719‐00556,Accord XRT II,300 ML,6/21/2017,58 Palisade Ave & 240st.,Bronx,10463,2% Riverdale Park
062719‐00556,Accord XRT II,750 ML,10/31/2017,58 Burr ave,Bronx,10461,5% Pelham Parkway
062719‐00324,Rodeo,1200 ML,5/3/2017,58 Bronx River Parkway and Adee Ave,Bronx,10467,2% Bronx Park
