EPA REGISTRATION NUMBER,PRODUCT NAME,QTY CHEMICAL USED,UNITS,RATE,PLACE OF APPLICATION,DATE OF APPLICATION,ADDRESS,MUNICIPALITY,,ZIPCODE
524-579,Round Up Pro Max,12.8,FL,3.00%,Beattie Square,10/26/2018,BROADWAY/STUYVESANT AVENUE/VERNON AVENUE,,KINGS,11221
524-579,Round Up Pro Max,42,FL,1.60%,Betsy Head Park,06/05/2018,Dumont Ave/Thomas Boyland St/Bristol St,,Kings,11212
524-579,Round Up Pro Max,16,FL,3.00%,Maria Hernandez Park,09/23/2018,Starr St/Willoughby Ave/Irving Ave,,Kings,11237
524-579,Round Up Pro Max,16,FL,3.00%,Maria Hernandez Park,09/23/2018,Starr St/Willoughby Ave/Knickerbocker Ave,,Kings,11237
524-579,Round Up Pro Max,80,FL,3.00%,Maria Hernandez Park,09/23/2018,Suydam St/Willoughby Ave/Irving Ave,,Kings,11237
524-579,Round Up Pro Max,38.016,FL,3.30%,Maria Hernandez Park,09/21/2018,Knickerbocker Avenue/Irvington Avenue/Starr Road,,Kings,11237
524-579,Round Up Pro Max,192,FL,3.00%,Maria Hernandez Park,09/23/2018,Knickerbocker Ave / Suydam Str/Irving Ave,,Kings,11237
524-579,Round Up Pro Max,7.7,FL,3.00%,Maria Hernandez Park,09/23/2018,Knickerbocker Ave/Starr Str/Willoughby Ave,,Kings,11237
524-579,Round Up Pro Max,7.7,FL,3.00%,Maria Hernandez Park,09/23/2018,Irving Ave/ Suydam St./ Knickerbocker Ave,,Kings,11237
524-579,Round Up Pro Max,25.3,FL,3.30%,Maria Hernandez Park,09/21/2018,Knickerbocker Ave / Starr,Str/Willoughby Ave,Kings,11237
524-579,Round Up Pro Max,1.6,FL,5.00%,Canarsie Park,06/03/2018,Seaview Ave/East 89 St/East 88 St,,Kings,11236
524-579,Round Up Pro Max,128,FL,3.00%,Canarsie Park,9/1/2018,Seaview Ave/E 86 ST/ Belt Parkway,,Kings,11236
524-579,Round Up Pro Max,320,FL,3.00%,Canarsie Park,9/15/2018,Seaview Ave/E 86 ST/ Belt Parkway,,Kings,11209
524-579,Round Up Pro Max,4.8,FL,3.00%,Dyker Beach Park,06/03/2018,Shore Pkwy/Bay 8th St/Independence Ave,,Kings,11228
524-579,Round Up Pro Max,12.8,FL,3.00%,Dyker Beach Park,06/03/2018,Shore Pkwy/Bay 8th St/Independence Ave,,Kings,11228
524-579,Round Up Pro Max,96,FL,2.50%,Dyker Playground,06/16/2018,13 th Ave/14th Ave/86st,St,Kings,11228
524-579,Round Up Pro Max,11.5,FL,3.00%,John Paul Jones Park,07/30/2018,4th Av/101st/Ft Hamilton PKWY,,Kings,11209
524-579,Round Up Pro Max,1.5,GAL,3%,John Paul Jones Park,9/25/2018,"101 St, 4th Av, Ft Hamilton PKWY",,kings,11209
524-579,Round Up Pro Max,13.5,FL,3.00%,Gravesend Playground,09/03/2018,18 Ave/ 19 Ave/ 56 St,,Kings,11204
524-579,Round Up Pro Max,9.6,FL,5.00%,Kelly Park,10/07/2018,Ave S/E. 14th St/E.15th St,,Kings,11229
524-579,Round Up Pro Max,19.2,FL,5.00%,Kelly Park Playground,10/07/2018,Avenue S/ East 14 Street/ East 15 St.,,Kings,11229
524-579,Round Up Pro Max,3,GAL,3%,Leif Ericson (Lower) Park,9/20/2018,"4th Av, 7th Av, 66th St, 67th St",,kings,11220
524-579,Round Up Pro Max,1.6,FL,5.00%,Vincent V Abate Playground,07/17/2018,Lorimer St/Driggs Ave/Manhattan Ave,,Kings,11222
524-579,Round Up Pro Max,32,FL,3.00%,McCarren Park,7/18/2018,Driggs Ave/Lorimer Ave/Bedford Ave,,Kings,11211
524-579,Round Up Pro Max,128,FL,3.00%,McCarren Park,06/24/2018,N. 12th St/Bedford Ave/Berry St,,Kings,11222
524-579,Round Up Pro Max,256,FL,2.50%,Asser Levy Park,05/29/2018,Seabreeze Ave/Surf Ave/Ocean Pkwy,,Kings,11224
524-579,Round Up Pro Max,309,FL,2.20%,Asser Levy Park,07/20/2018,Seabreeze Ave/Surf Ave/West 5th St,,Kings,11224
524-579,Round Up Pro Max,1.5,GAL,3%,Shore Road Park,7/11/2018,"Shore rd, Bayridge Av, 74st",,kings,11209
524-579,Round Up Pro Max,3,GAL,3%,Shore Road Park,7/19/2018,"shore rd, 74st, 83st",,kings,11209
524-579,Round Up Pro Max,1.5,GAL,3%,Shore Road Park,7/11/2018,"Shore rd, 4th Av, 96st",,kings,11209
524-579,Round Up Pro Max,3,GAL,3%,Shore Road Park,9/6/2018,"Shore rd, 92st, 3rd Av",,kings,11209
524-579,Round Up Pro Max,12.8,FL,5.00%,Taaffe Playground,09/15/2018,Taaffe Pl/Park Ave/Myrtle Ave,,Kings,11205
524-579,Round Up Pro Max,38.2,FL,5.00%,Taaffe Playground,9/15/2018,Taaffe Pl/Park Ave/Myrtle ave,,Kings,11205
524-579,Round Up Pro Max,14,FL,1.60%,Marion Playground,06/02/2018,Thomas Boyland St/ Marion St/ Chauncey St,,Kings,11233
524-579,Round Up Pro Max,9.6,FL,2.50%,Calvert Vaux Park,05/01/2018,Bay 44th St/Shore Parkway/Bay 49th St,,Kings,11214
524-579,Round Up Pro Max,80,FL,2.50%,Calvert Vaux Park,07/13/2018,Bay 44th St/Shore Parkway/Bay 49th St,,Kings,11214
524-579,Round Up Pro Max,1.6,FL,2.50%,Calvert Vaux Park,07/24/2018,Bay 44th St/Shore Parkway/Bay 49th St,,Kings,11214
524-579,Round Up Pro Max,98,FL,2.20%,Calvert Vaux Park,06/08/2018,Bay 44th St/Shore Parkway/Bay 49th St,,Kings,11214
524-579,Round Up Pro Max,1.6,FL,2.20%,Bush Clinton Playground,08/15/2018,Loraine Street/ Henry Street/ Clinton Street,,Kings,11231
524-579,Round Up Pro Max,1.6,FL,2.20%,Bush Clinton Playground,08/15/2018,Loraine street/ Henry street/ Clinton street,,Kings,11231
524-579,Round Up Pro Max,13.5,FL,3.00%,Colonel David Marcus Playground,08/01/2018,Ave P / Ave,O/ E 4 St,Kings,11230
524-579,Round Up Pro Max,7.7,FL,3.00%,Colonel David Marcus Playground,08/02/2018,Ave P / Ave,O/ E 4 St/ E5 St,Kings,11230
524-579,Round Up Pro Max,400,FL,2.50%,Kaiser Park,07/13/2018,Bayview Ave/Neptune Ave/West 22nd St,,Kings,11224
524-579,Round Up Pro Max,112,FL,2.20%,Kaiser Park,07/20/2018,Bayview Ave/Neptune Ave/West 22nd St,,Kings,11224
524-579,Round Up Pro Max,12,FL,1.60%,City Line Park,06/08/2018,Atlantic Ave/Fountain Ave/Conduit Blvd,,Kings,11208
524-579,Round Up Pro Max,80,FL,1.67%,Thomas Greene Playground,7/10/2018,3rd Ave/Degraw St/Douglass St,,Kings,11217
524-579,Round Up Pro Max,3.2,FL,5.00%,Kelly Park,05/29/2018,Ave R/Ave S/E.16th St,,Kings,11229
524-579,Round Up Pro Max,6.4,FL,5.00%,Mt. Prospect Park,08/27/2018,Eastern Parkway/Washington Ave/Flatbush Ave.,,Kings,11238
524-579,Round Up Pro Max,11.5,FL,3.00%,Brizzi Playground,08/01/2018,New Utrecht Ave/ 10 Ave /42 St,,Kings,11219
524-579,Round Up Pro Max,18,FL,1.60%,Sperandeo Brothers Playground,06/30/2018,Atlantic Ave/Liberty Ave/Cleveland St,,Kings,11212
524-579,Round Up Pro Max,28,FL,2.20%,Six Diamonds,06/08/2018,Bay 49th St/Shore Parkway/ Bay 52nd St,,Kings,11214
524-579,Round Up Pro Max,80,FL,3.00%,La Guardia Playground South,8/18/2018,S 4 St /Havemayer St /S 5 St,Kings,11211
524-579,Round Up Pro Max,5.6,FL,2.20%,Coney Island Beach,06/08/2018,Brighton 15th/Brightwater/Corbin Place,Kings,11235
524-579,Round Up Pro Max,56.32,FL,2.20%,Canarsie Park,08/20/2018,Seaview avenue/ Paerdegat avenue North/ East 80th street,Kings,11236
524-579,Round Up Pro Max,48,FL,2.20%,Canarsie Park,08/02/2018,Seaview Avenue/ Paerdegat Avenue North/ East 80th Street,Kings,11236
524-579,Round Up Pro Max,56.32,FL,2.20%,Canarsie Park,08/20/2018,Seaview Avenue/ Paerdegat Avenue North/ East 80th Street,Kings,11236
524-579,Round Up Pro Max,48,FL,2.20%,Canarsie Park,08/02/2018,Seaview avenue/ Paerdegat avenue North/ East 80th street,Kings,11236
524-579,Round Up Pro Max,3.8,FL,3.00%,Coffee Square,06/29/2018,81st/7th Av/FT Hamilton PKWY,Kings,11228
524-579,Round Up Pro Max,1,GAL,3%,John J Carty Park,9/25/2018,"Ft Hamilton PKWY, 95th St, Marine PKWY",kings,11209
524-579,Round Up Pro Max,32,FL,1.60%,Linden Park,05/31/2018,Vermont St/ Linden Blvd/Stanley Ave,Kings,11207
524-579,Round Up Pro Max,1.6,FL,5.00%,Dimattina Playground,05/29/2018,Rapelye St/Henry St/Hicks St,Kings,11231
524-579,Round Up Pro Max,28,FL,1.60%,Dr. Green Playground,06/30/2018,Sutter Ave/Mother Gaston Blvd/Rockaway Ave,Kings,11212
524-579,Round Up Pro Max,253,FL,3.33%,Manhattan Beach Park,05/24/2018,Oriental Boulevard/Irwin Street/ Hastings,Kings,11235
524-579,Round Up Pro Max,1.6,FL,5.00%,"Captain John McKenna, IV Park",06/16/2018,W/S Expwy/S/S Vanderbilt St/E. 5th St,Kings,11218
