EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,DATE OF APPLICATION,ADDRESS,ADDRESS 2,PLACE
000524-00579,Round Up ProMax,128.4 FL,7/1/2018 Morningside Ave btw 110th,123rd street,,Morningside Park
000524-00579,Round Up ProMax,94.16 FL,7/1/2018 Morningside Dr btw 110th,123rd street,,Morningside Park
000524-00579,Round Up ProMax,119.84 FL,7/1/2018 St Nicholas Ave btw 128,141st st,,St. Nicholas Park
000524-00579,Round Up ProMax,85.6 FL,7/1/2018 St Nicholas Terrace btw 139,135th st,,St. Nicholas Park
000524-00579,Round Up ProMax,130 FL,8/9/2018 741 Fort Washington Ave,,,Fort Tryon Park
000524-00579,Round Up ProMax,16 FL,5/24/2018 Dyckman St,Henry Hudson,,Inwood Hill Park
000524-00579,Round Up ProMax,7.5 FL,5/30/2018 Pinehurst,West 190th,,Bennett Park
000524-00579,Round Up ProMax,8 FL,5/30/2018 Broadway and West 204th St,,,Dyckman House Musuem
000524-00579,Round Up ProMax,60 FL,5/30/2018 Broadway between Riverside Dr and Bennet,,,Fort Tryon Park
000524-00579,Round Up ProMax,40 FL,5/30/2018 Payson to Seaman Ave,,,Inwood Hill Park
000524-00579,Round Up ProMax,12 FL,5/30/2018 Broadway and Isham Alley,,,Isham Park
000524-00579,Round Up ProMax,7.5 FL,5/30/2018 Fort Washington Ave,Haven Ave,,J. Hood Wright Park
000524-00579,Round Up ProMax,20 FL,6/5/2018 741 Fort Washington Ave,,,Fort Tryon Park
000524-00579,Round Up ProMax,16 FL,7/30/2018 741 Fort Washington Ave,,,Fort Tryon Park
000524-00579,Round Up ProMax,8 FL,7/30/2018 W160th and Edgecomb,,,Highbridge Park
000524-00579,Round Up ProMax,24 FL,8/2/2018 Edgecomb btw 155th and 158th St,,,Highbridge Park
000524-00579,Round Up ProMax,12 FL,8/2/2018 Hudson River,Dyckman,,Inwood Hill Park
000524-00579,Round Up ProMax,16 FL,8/9/2018 Riverside Dr btw 155,158th street,,Greenstreet
000524-00579,Round Up ProMax,4 FL,8/9/2018 W161st St btw St. Nicholas and Amsterdam,,,Greenstreet
000524-00579,Round Up ProMax,4 FL,8/9/2018 W168st St btw St. Nicholas and Amsterdam,,,Mitchel Square
000524-00579,Round Up ProMax,2 FL,8/21/2018 Edgecombe and 157th street,,,Bushman Steps
000524-00579,Round Up ProMax,10 FL,8/21/2018 741 Fort Washington Ave,,,Fort Tryon Park
000524-00579,Round Up ProMax,48 FL,8/21/2018 189 to 190th and Broadway,,,Gorman Park
062719-00324,GLYPRO,4 FL,8/21/2018 Salt Marsh,,,Inwood Hill Park
000524-00579,Round Up ProMax,16 FL,8/21/2018 Edgecomb Ave,Jumel Terr,,Morris Jumel Park
000524-00579,Round Up ProMax,8 FL,6/5/2018 Fort Washington Ave inside park at stair,,,Fort Tryon Park
000524-00579,Round Up ProMax,2 FL,6/5/2018 Linden Terrace Bed,,,Fort Tryon Park
000524-00579,Round Up ProMax,6 FL,6/5/2018 Lower staircase leading to cloisters,,,Fort Tryon Park
000524-00579,Round Up ProMax,24 FL,6/6/2018 Dyckman Bike Run Switch,,,Fort Washington Park
000524-00579,Round Up ProMax,24 FL,6/11/2018 173,Fort Washington Ave,,J. Hood Wright Park
000524-00579,Round Up ProMax,16 FL,6/12/2018 173,Fort Washington Ave,,J. Hood Wright Park
000524-00579,Round Up ProMax,42.8 FL,7/16/2018 135th between Madsion,5th Ave,,Abraham Lincoln Playground
000524-00579,Round Up ProMax,21.4 FL,7/16/2018 Lexington btw 128,129th St,,Alice Kornegay Triangle
000524-00579,Round Up ProMax,17.12 FL,7/16/2018 120th,Sylvan Place,,Harlem Art Park
000524-00579,Round Up ProMax,29.86 FL,7/16/2018 128th btw 2nd,3rd Ave,,Harlem River Park
000524-00579,Round Up ProMax,171.2 FL,7/16/2018 124-120th btw Mount Morris,,Madison Ave,Marcus Garvey Park
000524-00579,Round Up ProMax,38.52 FL,7/16/2018 Park Ave Btw 120th,121st,,McCabe Field
000524-00579,Round Up ProMax,77.04 FL,7/16/2018 Madison ave btw 130th,,131st st,Moore Playground
000524-00579,Round Up ProMax,29.96 FL,7/16/2018 Hells Gate,,,Randalls Island
000524-00579,Round Up ProMax,42.8 FL,7/16/2018 122,123 btw Lexington,3rd Ave,Ronald McNair Playground
000524-00579,Round Up ProMax,5.36 FL,6/30/2018 York Ave btw E 60 E61st,,,Twenty-Four Sycamores Park
000524-00579,Round Up ProMax,149.8 FL,7/1/2018 East End Ave Btw E84th,,E90th St,Carl Schurz Park
000524-00579,Round Up ProMax,8.5 FL,7/1/2018 East 92nd,FDR,,Dekovats Triangle
000524-00579,Round Up ProMax,64.2 FL,7/1/2018 East 76gh -E78th and FDR,,,John Jay Park
000524-00579,Round Up ProMax,21.4 FL,7/1/2018 Lexington Ave btw E95,,E96th Street,Samuel Seabury Playground
000524-00579,Round Up ProMax,85.6 FL,7/1/2018 E 97th thru E95th btw fdr,,1st Ave,Stanley Isaacs Playground
000524-00579,Round Up ProMax,214 FL,9/29/2018 Stanton,Margin Street,,Baruch Playground
000524-00579,Round Up ProMax,40 FL,5/31/2018 165th St Between Audubon and Amsterdam,,,McKenna Square
000524-00579,Round Up ProMax,24 FL,6/13/2018 Dykeman St,181st,,Fort Washington Park
