EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,UNITS,DATE OF APPLICATION,COUNTY CODE,ADDRESSS,MUNICIPALITY,ZIP CODE,DOSAGE RATE,PLACE
062719-00324,Rodeo,4500 ML,,6/7/2018,61 225th street and 149th ave,,Springfield Gardens,11413,3% Alley Pond Park,
062719-00324,Rodeo,4950 ML,,9/17/2018,61 225th street and 149th ave,,Springfield Gardens,11413,3% Rockaway Beach and Boardwalk,
062719-00324,Rodeo,450 ML,,9/20/2018,61 Kenny Rd and Hyland Blvd,,Staten Island,10309,3% Rockaway Beach and Boardwalk,
062719-00324,Rodeo,2700 ML,,9/20/2018,61 225th street and 149th ave,,Springfield Gardens,11413,3% Alley Pond Park,
062719-00324,Accord Concentrate,3900 ML,,9/24/2018,58 Payson Ave and Dyckman St,,New York,10034,3% Bronx Park,
062719-00324,Accord Concentrate,3600 ML,,9/24/2018,58 Park Dr and City Island Rd,,Bronx,10464,3% Bronx Park,
062719-00324,Accord Concentrate,2100 ML,,9/27/2018,58 Park Dr and City Island Rd,,Bronx,10464,3% Bronx Park,
062719-00324,Accord Concentrate,2100 ML,,9/27/2018,58 225th street and 149th ave,,Springfield Gardens,11413,3% Bronx Park,
062719-00324,Accord Concentrate,4050 ML,,9/27/2018,58 Park Dr and City Island Rd,,Bronx,10464,3% Bronx Park,
062719-00324,Accord Concentrate,900 ML,,10/1/2018,62 Park Dr and City Island Rd,,Bronx,10464,3% Great Kills Park,
062719-00324,Accord Concentrate,4500 ML,,10/1/2018,62 Orchard Beach Rd and Park Dr,,Bronx,10464,3% Great Kills Park,
062719-00324,Accord Concentrate,3600 ML,,10/2/2018,62 Park Dr and City Island Rd,,Bronx,10464,3% Great Kills Park,
062719-00324,Accord Concentrate,600 ML,,10/4/2018,58 225th street and 149th ave,,Springfield Gardens,11413,3% Bronx Park,
062719-00324,Accord Concentrate,3600 ML,,10/4/2018,58 Park Dr and City Island Rd,,Bronx,10464,3% Bronx Park,
062719-00324,Rodeo,5 GL,,10/10/2018,61 225th street and 149th ave,,Springfield Gardens,11413,2.50% Flushing Meadows Corona Park,
062719-00324,Accord Concentrate,2.5 GL,,10/18/2018,58 Park Dr and City Island Rd,,Bronx,10464,2.50% Harding Park,
062719-00324,Accord Concentrate,2.5 GL,,10/18/2018,58 Payson Ave and Dyckman St,,New York,10034,2.50% Harding Park,
062719-00324,Rodeo,2.5 GL,,10/23/2018,61 Park Dr and City Island Rd,,Bronx,10464,2.50% Flushing Meadows Corona Park,
062719-00556,Accord XRT II,800 ML,,4/17/2018,62 Hylan and Cornelia,,Staten Island,10312,2% Wolfe's Pond Park,
062719-00556,Accord XRT II,800 ML,,4/18/2018,62 Hylan and Cornelia,,Staten Island,10312,2% Wolfe's Pond Park,
062719-00556,Accord XRT II,1000 ML,,4/20/2018,62 Hylan and Cornelia,,Staten Island,10312,2% Wolfe's Pond Park,
062719-00556,Accord XRT II,600 ML,,4/24/2018,62 Hylan and Cornelia,,Staten Island,10312,2% Clove Lakes Park,
062719-00324,Accord Concentrate,200 ML,,4/30/2018,62 232nd St & Palisade Ave,,Bronx,10463,2% Clove Lakes Park,
062719-00556,Accord XRT II,600 ML,,5/1/2018,62 232nd St. & Palisade Ave,,Bronx,10463,2% Clove Lakes Park,
062719-00556,Accord XRT II,800 ML,,5/2/2018,62 Spaulding Lane & Palisades Ave,,Bronx,10471,2% Wolfe's Pond Park,
062719-00556,Accord XRT II,1000 ML,,5/7/2018,62 Orchard Beach Rd and Park Dr,,Bronx,10464,2% Wolfe's Pond Park,
062719-00556,Accord XRT II,1000 ML,,5/14/2018,62 Orchard Beach Rd and Park Dr,,Bronx,10464,2% Wolfe's Pond Park,
062719-00556,Accord XRT II,900 ML,,5/15/2018,62 Orchard Beach Rd and Park Dr,,Bronx,10464,2% Wolfe's Pond Park,
062719-00556,Accord XRT II,1100 ML,,5/17/2018,62 Slosson and Utter,,Staten Island,10314,2% Wolfe's Pond Park,
062719-00556,Accord XRT II,400 ML,,5/18/2018,62 73rd ave& 210st,,Oakland Gardens,11364,2% Great Kills Park,
062719-00556,Accord XRT II,1000 ML,,5/21/2018,62 Orchard Beach Rd and Park Dr,,Bronx,10464,2% Wolfe's Pond Park,
062719-00556,Accord XRT II,600 ML,,5/22/2018,62 Orchard Beach Rd and Park Dr,,Bronx,10464,2% Clove Lakes Park,
062719-00556,Accord XRT II,800 ML,,5/25/2018,62 232nd & Palisade Ave,,Bronx,10463,2% Father Macris Park,
062719-00556,Accord XRT II,600 ML,,6/5/2018,62 232nd & Palisade Ave,,Bronx,10463,2% Great Kills Park,
062719-00556,Accord XRT II,600 ML,,6/6/2018,62 Slosson and Utter,,Staten Island,10314,2% Great Kills Park,
062719-00556,Accord XRT II,800 ML,,6/7/2018,62 70th Ave and Northern Blvd,,Little Neck,11362,2% Great Kills Park,
062719-00556,Accord XRT II,200 ML,,6/8/2018,62 232nd & Palisade Ave,,Bronx,10463,2% Great Kills Park,
062719-00556,Accord XRT II,800 ML,,6/12/2018,62 Slosson and Utter,,Staten Island,10314,2% Conference House Park,
062719-00556,Accord XRT II,800 ML,,6/12/2018,62 Slosson and Utter,,Staten Island,10314,2% Conference House Park,
062719-00556,Accord XRT II,800 ML,,6/15/2018,62 73rd ave & 210 st,,Oakland Gardens,11364,2% Conference House Park,
062719-00556,Accord XRT II,600 ML,,8/20/2018,62 Holten and Hylan,,Staten Island,10309,2% Great Kills Park,
062719-00556,Accord XRT II,300 ML,,8/21/2018,62 Orchard Beach Rd and Park Dr,,Bronx,10464,2% Great Kills Park,
062719-00556,Accord XRT II,1750 ML,,8/22/2018,62 Orchard Beach Rd and Park Dr,,Bronx,10464,5% Clove Lakes Park,
062719-00556,Accord XRT II,2000 ML,,8/24/2018,62 Holten ave and Norman pl,,Staten Island,10309,5% Clove Lakes Park,
062719-00556,Accord XRT II,500 ML,,9/6/2018,62 Spaulding Lane & Palisades Ave,,Bronx,10471,5% Clove Lakes Park,
062719-00556,Accord XRT II,2500 ML,,9/7/2018,62 234th St & Northern Blvd,,Little Neck,11362,5% Wolfe's Pond Park,
062719-00556,Accord XRT II,800 ML,,9/13/2018,62 Francis Lewis Blvd & Union tpke,,Queens Village,11427,2% Wolfe's Pond Park,
062719-00556,Accord XRT II,1500 ML,,9/24/2018,62 Orchard Beach Rd and Park Dr,,Bronx,10464,5% Wolfe's Pond Park,
062719-00556,Accord XRT II,800 ML,,4/18/2018,58 Payson Ave and Dyckman St,,New York,10034,2% Riverdale Park,
062719-00556,Accord XRT II,1000 ML,4/20/2018,58 Holten and Melville,Staten Island,10309,2% Riverdale Park
062719-00556,Accord XRT II,1000 ML,4/23/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Riverdale Park
062719-00556,Accord XRT II,600 ML,4/23/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Riverdale Park
062719-00556,Accord XRT II,450 ML,4/24/2018,58 Payson Ave and Dyckman St,New York,10034,2% Raoul Wallenberg Forest
062719-00556,Accord XRT II,400 ML,4/30/2018,58 Holten and Melville,Staten Island,10309,2% Riverdale Park
062719-00556,Accord XRT II,1000 ML,5/1/2018,58 Payson Ave and Dyckman St,New York,10034,2% Riverdale Park
062719-00556,Accord XRT II,1000 ML,5/2/2018,58 Hylan and Cornelia,Staten Island,10309,2% Riverdale Park
062719-00556,Accord XRT II,1400 ML,5/3/2018,60 Park Dr and City Island Rd,Bronx,10464,2% Inwood Hill Park
062719-00556,Accord XRT II,600 ML,5/11/2018,60 Park Dr and City Island Rd,Bronx,10464,2% Inwood Hill Park
062719-00556,Accord XRT II,800 ML,5/30/2018,60 Chester Ave and Irvington,Staten Island,10312,2% Inwood Hill Park
062719-00556,Accord XRT II,1000 ML,6/5/2018,60 Chester Ave and Irvington,Staten Island,10312,2% Inwood Hill Park
062719-00556,Accord XRT II,600 ML,6/6/2018,60 Jewel Ave and Park Drive East,Flushing,11367,3% Inwood Hill Park
062719-00556,Accord XRT II,600 ML,6/8/2018,58 Slosson and Utter,Staten Island,10314,3% Raoul Wallenberg Forest
062719-00556,Accord XRT II,400 ML,6/14/2018,58 Lamberts and Richmond,Staten Island,10314,2% Riverdale Park
062719-00556,Accord XRT II,400 ML,6/14/2018,58 Hylan and Buffalo,Staten Island,10306,2% Riverdale Park
062719-00556,Accord XRT II,1000 ML,6/20/2018,58 Lamberts and Richmond,Staten Island,10314,5% Riverdale Park
062719-00324,Accord Concentrate,1000 ML,6/21/2018,58 Payson Ave and Beak St,New York,10034,5% Riverdale Park
062719-00324,Accord Concentrate,1000 ML,6/21/2018,58 73rd ave & 210th street,Oakland Gardens,11364,5% Riverdale Park
062719-00556,Accord XRT II,200 ML,7/9/2018,60 Francis Lewis Blvd & Union tpke,Queens Village,11427,2% Inwood Hill Park
062719-00556,Accord XRT II,600 ML,7/9/2018,60 Park Dr and City Island Rd,Bronx,10464,2% Inwood Hill Park
062719-00556,Accord XRT II,600 ML,7/9/2018,60 Orchard Beach Rd and Park Dr,Bronx,10464,2% Inwood Hill Park
062719-00324,Accord Concentrate,1000 ML,7/10/2018,58 Payson Ave and Beak St,New York,10034,5% Riverdale Park
062719-00324,Rodeo,200 ML,10/1/2018,58 Hylan and Buffalo,Staten Island,10306,2% Riverdale Park
062719-00324,Rodeo,200 ML,10/3/2018,58 Park Dr and City Island Rd,Bronx,10464,2% Raoul Wallenberg Forest
062719-00324,Accord Concentrate,100 ML,12/19/2018,58 232nd & Palisade Ave,Bronx,10463,2% Riverdale Park
062719-00556,Accord XRT II,600 ML,4/30/2018,61 73rd ave& 210st,Oakland Gardens,11364,2% Cunningham Park
062719-00556,Accord XRT II,400 ML,5/1/2018,61 70th Ave and Northern Blvd,Little Neck,11362,2% Alley Pond Park
062719-00556,Accord XRT II,600 ML,5/2/2018,61 73rd ave & 210 st,Oakland Gardens,11364,2% Cunningham Park
062719-00556,Accord XRT II,200 ML,5/3/2018,61 Francis Lewis Blvd & Union tpke,Queens Village,11427,2% Cunningham Park
062719-00556,Accord XRT II,200 ML,5/3/2018,61 234th St & Northern Blvd,Little Neck,11362,2% Alley Pond Park
062719-00556,Accord XRT II,600 ML,5/21/2018,61 Jewel Ave and Park Drive East,Flushing,11367,2% Flushing Meadows Corona Park
062719-00556,Accord XRT II,400 ML,5/24/2018,61 73rd ave & 210th street,Oakland Gardens,11364,2% Cunningham Park
062719-00556,Accord XRT II,400 ML,5/30/2018,61 Francis Lewis Blvd & Union tpke,Queens Village,11427,2% Cunningham Park
062719-00556,Accord XRT II,400 ML,6/6/2018,61 73rd ave &210th st,Oakland Gardens,11364,2% Cunningham Park
062719-00556,Accord XRT II,200 ML,6/12/2018,61 Winchester Blvd & Grand Central Pkwy,Oakland Gardens,11364,2% Alley Pond Park
062719-00556,Accord XRT II,100 ML,4/18/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00556,Accord XRT II,300 ML,4/23/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,300 ML,5/1/2018,58 Orchard Beach Rd and Park Dr,Bronx,10464,2% Pelham Bay Park
062719-00324,Accord Concentrate,500 ML,5/2/2018,58 Spaulding Lane & Palisades Ave,Bronx,10471,2% Pelham Bay Park
062719-00324,Accord Concentrate,500 ML,5/21/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,500 ML,5/21/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,360 ML,5/24/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,300 ML,5/29/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,400 ML,5/30/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,150 ML,6/6/2018,58 225th street and 149th ave,Springfield Gardens,11413,1% Pelham Bay Park
062719-00324,Accord Concentrate,100 ML,6/6/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,300 ML,6/8/2018,58 Spaulding Lane & Palisades Ave,Bronx,10471,2% Pelham Parkway
062719-00324,Accord Concentrate,150 ML,6/14/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,250 ML,6/19/2018,58 225th street and 149th ave,Springfield Gardens,11413,1% Pelham Bay Park
062719-00324,Accord Concentrate,200 ML,6/20/2018,58 225th street and 149th ave,Springfield Gardens,11413,1% Pelham Bay Park
062719-00324,Accord Concentrate,100 ML,6/25/2018,58 225th street and 149th ave,Springfield Gardens,11413,1% Pelham Bay Park
062719-00324,Accord Concentrate,90 ML,7/20/2018,58 225th street and 149th ave,Springfield Gardens,11413,3% Pelham Bay Park
062719-00324,Accord Concentrate,150 ML,7/20/2018,58 Spaulding Lane & Palisades Ave,Bronx,10471,1% Pelham Bay Park
