EPA REGISTRATION NUMBER,PRODUCT NAME,DOSAGE,DATE OF APPLICATION,ADDRESS,ADDRESS_2,RATE,PLACE
000524‐00579,ROUNDUP PROMAX,16 FL,6/28/2017,Park Row,Murray St,10007,3% City Hall Park
000524‐00579,ROUNDUP PROMAX,32 FL,8/25/2017,Vesey St,West Side Highway,10007,3% Canal Park
000524‐00579,ROUNDUP PROMAX,8 FL,8/25/2017,Canal St,West Side Highway,10013,3% Capsota Park
000524‐00579,ROUNDUP PROMAX,8 FL,8/29/2017,Canal St,Varick Street,10013,3% Millenial Park
000524‐00579,ROUNDUP PROMAX,8 FL,9/1/2017,Park Row,Murray St,10007,3% City Hall Park
000524‐00579,ROUNDUP PROMAX,8 FL,9/1/2017,Barkley,Broadway,10007,3% Green Street
012455‐00086,CONTRAC RODENTICIDE PLACE PACS,25 GM,12/21/2017,Central Park West and 79th Street,,10024,0.01% Theodore Roosevelt Park
012455‐00086,CONTRAC RODENTICIDE PLACE PACS,25 GM,12/21/2017,Central Park West and 79th Street,,10024,0.01% Theodore Roosevelt Park
012455‐00086,CONTRAC RODENTICIDE PLACE PACS,25 GM,12/21/2017,Central Park West and 79th Street,,10024,0.01% Theodore Roosevelt Park
012455‐00086,CONTRAC RODENTICIDE PLACE PACS,25 GM,12/21/2017,Central Park West and 79th Street,,10024,0.01% Theodore Roosevelt Park
012455‐00086,CONTRAC RODENTICIDE PLACE PACS,25 GM,12/21/2017,Central Park West and 79th Street,,10024,0.01% Theodore Roosevelt Park
012455‐00086,CONTRAC RODENTICIDE PLACE PACS,25 GM,12/21/2017,Central Park West and 79th Street,,10024,0.01% Theodore Roosevelt Park
000524‐00579,ROUNDUP PROMAX,21.4 FL,8/13/2017,135th St,Amsterdam Ave,10031,3% Anounciation park
000524‐00579,ROUNDUP PROMAX,235.4 FL,8/13/2017,St Nicholas Ave,St. Nicholas terr,10030,3% St. Nicholas Park betwen 141 and 128th Streets
000524‐00579,ROUNDUP PROMAX,42.8 FL,7/8/2017,23‐24th Sts,FDR Drive,10010,3% Asser Levy
