EPA REGISTRATION NUMBER,PRODUCT,QTTY UNITS,DOSAGE,DATE OF APPLICATION,ADDRESS,ADDRESS 2,ADDRESS 3,ZIP CODE
524‐579,Roundup ProMax,2.5 FL,2%,5/4/2017,61 Alley Athletic Playground,,"Winchester Blvd, Union Tpke",11426
524‐579,Roundup ProMax,104 FL,2%,7/17/2017,61 Alley Athletic Playground,,"Winchester Blvd, Union Tpke",11427
524‐579,Roundup ProMax,156 FL,2%,9/6/2017,61 Alley Athletic Playground,,"Winchester Blvd, Union Tpke",11427
524‐579,Roundup ProMax,78 FL,2%,7/18/2017,61 Bay Terrace Playground,,23 Ave & 213 Pl,11360
524‐579,Roundup ProMax,104 FL,2%,7/16/2017,61 Bellaire Playground,,"Hillside Ave, 207 & 208 Sts",11427
524‐579,Roundup ProMax,182 FL,2%,7/5/2017,61 Breininger Park,,Braddock Ave & 240 St,11426
524‐579,Roundup ProMax,156 FL,2%,7/18/2017,61 Breininger Park,,Braddock Ave & 240 St,11426
524‐579,Roundup ProMax,156 FL,2%,7/17/2017,61 Cambria Playground,,121 Ave & 220 St,11411
524‐579,Roundup ProMax,1.6 fl,2%,7/15/2017,61 Captain Tilly Park,,"Highland Ave, Upland Pkwy, Gothic Pkwy, 85 Ave",11432
524‐579,Roundup ProMax,52 FL,2%,8/20/2017,61 Captain Tilly Park,,"Highland Ave, Upland Pkwy, Gothic Pkwy, 85 Ave",11432
524‐579,Roundup ProMax,15.6 FL,2%,9/12/2017,61 Captain Tilly Park,,"Highland Ave, Upland Pkwy, Gothic Pkwy, 85 Ave",11432
524‐579,Roundup ProMax,156 FL,2%,8/6/2017,61 Cardozo Playground,,Arverne Blvd Bet B 56 & B 57,11692
524‐579,Roundup ProMax,8 FL,2%,7/13/2017,61 College Point Blvd Soccer Fields,,"Van Wyck Expwy, College Point Blvd,",11375
524‐579,Roundup ProMax,156 FL,2%,10/1/2017,61 Court Square Park,,"Jackson Ave, Thompson Ave, Court Sq",11101
524‐579,Roundup ProMax,5 FL,2%,5/4/2017,61 Crocheron Park Zone 1,,"34th Ave, 214th Place, 33rd Rd, 214th Lane, 35th Ave, 216th St",11361
524‐579,Roundup ProMax,130 FL,2%,5/14/2017,61 Cunningham Park,,"Horace Harding Expwy, Grand Central Pkwy",11366
524‐579,Roundup ProMax,130 FL,2%,5/15/2017,61 Cunningham Park,,"Horace Harding Expwy, Grand Central Pkwy",11366
524‐579,Roundup ProMax,130 FL,2%,5/15/2017,61 Cunningham Park,,"Horace Harding Expwy, Grand Central Pkwy",11366
524‐579,Roundup ProMax,52 FL,2%,9/11/2017,61 Cunningham Park,,"Horace Harding Expwy, Grand Central Pkwy",11366
524‐579,Roundup ProMax,39 FL,2%,9/11/2017,61 Cunningham Park,,"Horace Harding Expwy, Grand Central Pkwy",11366
524‐579,Roundup ProMax,65 FL,2%,9/12/2017,61 Cunningham Park,,"Horace Harding Expwy, Grand Central Pkwy",11366
524‐579,Roundup ProMax,7.8 FL,2%,9/19/2017,61 Cunningham Park,,"Horace Harding Expwy, Grand Central Pkwy",11366
524‐579,Roundup ProMax,130 FL,2%,7/9/2017,61 Delphin H. Greene Playground,,121 Ave & 237 St,11413
524‐579,Roundup ProMax,104 FL,2%,5/23/2017,61 Detective Keith L Williams Park,,"106 Ave, 173 St, Liberty Ave, 172 St",11433
524‐579,Roundup ProMax,104 FL,2%,5/30/2017,61 Detective Keith L Williams Park,,"106 Ave, 173 St, Liberty Ave, 172 St",11433
524‐579,Roundup ProMax,78 FL,2%,7/10/2017,61 Detective William T. Gunn Park,,"S/s Hillside Ave, E/o 235 Ct",11427
524‐579,Roundup ProMax,52 FL,2%,7/18/2017,61 Detective William T. Gunn Park,,"S/s Hillside Ave, E/o 235 Ct",11427
524‐579,Roundup ProMax,104 FL,2%,7/23/2017,61 Detective William T. Gunn Park,,"S/s Hillside Ave, E/o 235 Ct",11427
524‐579,Roundup ProMax,64 fl,2%,6/2/2017,61 Dr. Charles R. Drew Park,,"Van Wyck Exwy, 116 Ave, 140 St, 115 Ave",11436
524‐579,Roundup ProMax,8 FL,2%,6/6/2017,61 Dutch Kills Green,,"23 Street, Queens Plaza South ",11101
524‐579,Roundup ProMax,12 FL,2%,6/7/2017,61 Dutch Kills Green,,"23 Street, Queens Plaza South ",11101
524‐579,Roundup ProMax,8 FL,2%,6/21/2017,61 Dutch Kills Green,,"Crescent Street, Queens Plaza South ",11101
524‐579,Roundup ProMax,16 FL,2%,7/11/2017,61 Dutch Kills Green,,"Queensborough Bridge, No Go Area",11101
524‐579,Roundup ProMax,8 FL,2%,7/12/2017,61 Dutch Kills Green,,"Queensborough Bridge, No Go Area",11101
524‐579,Roundup ProMax,16 FL,2%,7/20/2017,61 Dutch Kills Green,,"23 Street, Queens Plaza North",11101
524‐579,Roundup ProMax,16 FL,2%,8/15/2017,61 Dutch Kills Green,,"Greenway bikelane, 41 Ave to 29 Street, Queens Plaza North",11101
524‐579,Roundup ProMax,8 FL,2%,8/27/2017,61 Dutch Kills Green,,"Jackson Ave, No Go Area",11101
524‐579,Roundup ProMax,8 FL,2%,9/13/2017,61 Dutch Kills Green,,"23 Street, Queens Plaza North",11101
524‐579,Roundup ProMax,8 FL,2%,9/14/2017,61 Dutch Kills Green,,"23 Street, Queens Plaza North",11101
524‐579,Roundup ProMax,78 FL,2%,7/11/2017,61 East Springfield Playground,,115 Rd Bet 218 & 219 Sts,11411
524‐579,Roundup ProMax,104 FL,2%,7/12/2017,61 East Springfield Playground,,115 Rd Bet 218 & 219 Sts,11411
524‐579,Roundup ProMax,20 FL,100%,7/1/2017,61 Flushing Bay Promenade,,Northern Blvd To Grand Central Parkway,11375
524‐579,Roundup ProMax,32 fl,2%,6/23/2017,61 Flushing Meadows Corona Park,,(w) Meadow Lake To (e)Van Wyck Expwy To (n)Parking 410 To (s)Model,11354
524‐579,Roundup ProMax,13 FL,2%,7/6/2017,61 Flushing Meadows Corona Park,,"Grand Central Pkwy, Van Wyck Exwy",11368
524‐579,Roundup ProMax,27 FL,7%,7/8/2017,61 Flushing Meadows Corona Park,,"Grand Central Pkwy, Van Wyck Exwy",11375
524‐579,Roundup ProMax,104 FL,2%,7/12/2017,61 Flushing Meadows Corona Park,,"Grand Central Pkwy, Van Wyck Exwy",11375
524‐579,Roundup ProMax,208 FL,2%,7/26/2017,61 Forest Park,"Myrtle Ave, Union Tpke, Park Lane S",,11418
524‐579,Roundup ProMax,2 FL,2%,9/16/2017,61 Forest Park,"Myrtle Ave, Union Tpke, Park Lane S",,11418
524‐579,Roundup ProMax,13 FL,2%,5/16/2017,61 Fort Totten Park Zone 1,"Rd, Whistler Ave, W Reed Rd",,11359
524‐579,Roundup ProMax,26 FL,2%,7/10/2017,61 Freedom Square Playground,Vleigh Pl & Main St,,11367
524‐579,Roundup ProMax,26 FL,2%,8/20/2017,61 Freedom Square Playground,Vleigh Pl & Main St,,11367
524‐579,Roundup ProMax,221 FL,2%,8/10/2017,61 Golden Pond In Crocheron Park,Btwn 35th Ave And Corbett Rd,,11360
524‐579,Roundup ProMax,0.4 fl,2%,7/18/2017,61 Greenstreet,Grnd Cntrl Py Sr N & Main St E Triangle,,11367
524‐579,Roundup ProMax,0.8 fl,2%,7/18/2017,61 Greenstreet,Main St. Btw Grand Central Py & Union Tp,,11367
524‐579,Roundup ProMax,0.4 fl,2%,7/18/2017,61 Greenstreet,Reeves Av & 61 Rd,,11367
524‐579,Roundup ProMax,0.4 fl,2%,8/8/2017,61 Greenstreet,"Carpenter Ave, Jamaica Ave",,11434
524‐579,Roundup ProMax,0.8 fl,2%,8/8/2017,61 Greenstreet,"Liberty Ave, Farmers Blvd & Hilbrun Ave",,11434
524‐579,Roundup ProMax,0.4 fl,2%,8/8/2017,61 Greenstreet,Liberty Ave & Merrick Blvd & 168 St,,11434
524‐579,Roundup ProMax,104 FL,2%,8/8/2017,61 Greenstreet,"Carpenter Ave, Jamaica Ave",,11423
524‐579,Roundup ProMax,156 FL,2%,8/8/2017,61 Greenstreet,Merrick Blvd & Springfield Blvd,,11413
524‐579,Roundup ProMax,52 FL,2%,8/17/2017,61 Greenstreet,Springfield Blvd Bet. 116 Ave & 115 Rd,,11411
524‐579,Roundup ProMax,0.4 fl,2%,8/19/2017,61 Greenstreet,23rd Avenue & Murray Street & Willets Point Blvd,,11357
524‐579,Roundup ProMax,0.4 fl,2%,8/19/2017,61 Greenstreet,150 St Bet Willets Point Bl & 24 Av,,11357
524‐579,Roundup ProMax,0.8 fl,2%,8/19/2017,61 Greenstreet,24th Rd. & 149th St. & Willets Point Ave (west),,11357
524‐579,Roundup ProMax,208 FL,2%,8/20/2017,61 Greenstreet,111 St & 54 Ave to 48 Ave,,11368
524‐579,Roundup ProMax,156 FL,2%,8/21/2017,61 Greenstreet,111 St & 54 Ave to 48 Ave,,11368
524‐579,Roundup ProMax,78 FL,2%,8/23/2017,61 Greenstreet,Springfield Blvd Bet. 112 Ave & 113 St,,11411
524‐579,Roundup ProMax,208 FL,2%,8/24/2017,61 Greenstreet,101 St & Ditmars Bl,,11369
524‐579,Roundup ProMax,0.4 fl,2%,8/25/2017,61 Greenstreet,"Carpenter Ave, Jamaica Ave",,11434
524‐579,Roundup ProMax,0.4 fl,2%,8/26/2017,61 Greenstreet,Liberty Ave & Merrick Blvd & 168 St,,11434
524‐579,Roundup ProMax,0.4 fl,2%,8/26/2017,61 Greenstreet,"Liberty Ave, Farmers Blvd & Hilbrun Ave",,11434
524‐579,Roundup ProMax,208 FL,2%,8/31/2017,61 Greenstreet,Springfield Blvd & 135 Ave & 136 Ave,,11413
524‐579,Roundup ProMax,364 FL,2%,8/31/2017,61 Greenstreet,"Francis Lewis Blvd, & Springfield Blvd. & 119th Ave.",,11411
524‐579,Roundup ProMax,26 FL,2%,9/6/2017,61 Greenstreet,"239 St, Hillside Ave To 87 Ave",,11427
524‐579,Roundup ProMax,208 FL,2%,8/6/2017,61 Hammel Playground,B 83 St & Rockaway Beach Blvd,,11693
524‐579,Roundup ProMax,52 FL,2%,7/3/2017,61 Harold Schneiderman Playground,155 Ave & 83 St,,11414
524‐579,Roundup ProMax,78 FL,2%,8/17/2017,61 Harvey Park,"15 To 20 Aves, E Of Whitestone Exwy",,11357
524‐579,Roundup ProMax,15.6 FL,2%,9/12/2017,61 Highland Park Zone 2,West Of Red Brick Structure,,11385
524‐579,Roundup ProMax,104 FL,2%,7/11/2017,61 Hillside Park,"82 Ave, 256 To 257 Sts",,11004
524‐579,Roundup ProMax,0.8 fl,2%,8/8/2017,61 Hollis Veterans Square,"Jamaica & Hollis Aves, 187 Pl",,11434
524‐579,Roundup ProMax,78 FL,2%,8/8/2017,61 Hollis Veterans Square,"Jamaica & Hollis Aves, 187 Pl",,11423
524‐579,Roundup ProMax,0.4 fl,2%,8/25/2017,61 Hollis Veterans Square,"Jamaica & Hollis Aves, 187 Pl",,11434
524‐579,Roundup ProMax,52 FL,2%,6/29/2017,61 Idlewild Park,"Rockaway Blvd, Springfield Blvd, 149 Ave",,11413
524‐579,Roundup ProMax,52 FL,2%,7/9/2017,61 Idlewild Park,"Rockaway Blvd, Springfield Blvd, 149 Ave",,11413
524‐579,Roundup ProMax,130 FL,2%,7/23/2017,61 Jamaica Playground,"110 Ave, 160 St, Union Hall St",,11434
524‐579,Roundup ProMax,13 FL,2%,5/21/2017,61 John Golden Park,"215 Pl, S/o 32 Ave",,11360
524‐579,Roundup ProMax,104 FL,2%,5/28/2017,61 John Golden Park,"215 Pl, S/o 32 Ave",,11360
524‐579,Roundup ProMax,104 FL,2%,7/30/2017,61 Juniper Valley Park Zone 3,N.) To 77th Pl. (on S.),,11379
524‐579,Roundup ProMax,50 FL,2%,9/27/2017,61 Kissena Park,"Booth Memorial, 164 St ‐ 162 St",,11365
