EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,UNITS,DATE OF APPLICATION,COUNTY CODE,ADDRESS,MUNICIPALITY,ZIP CODE,DOSAGE RATE,PLACE
000524‐00579,ROUNDUP PROMAX,177 ML,,5/4/2017,58 Orchard Beach Rd/Park Dr,,Bronx,10461 1.5 percent,,Orchard Beach
000524‐00579,ROUNDUP PROMAX,250 ML,,5/4/2017,58 Orchard Beach Rd/Park Dr,,Bronx,10461 3 percent,,Orchard Beach
000524‐00579,ROUNDUP PROMAX,29.5 ML,,5/10/2017,58 Bedford Bark Blvd/Southern Blvd,,Bronx,10458 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,118 ML,,5/10/2017,58 Goulden Ave/Reservoir Ave,,Bronx,10468 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,14.75 ML,,5/10/2017,58 Grand Concourse/E Mosholu Pkwy,,Bronx,10458 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,29.5 ML,,5/10/2017,58 Irwin Ave/Riverdale Ave,,Bronx,10463 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,29.5 ML,,5/10/2017,58 Van Cortlandt Park E/242 St,,Bronx,10470 1.5 percent,,van Cortlandt Park Nursery Rd
000524‐00579,ROUNDUP PROMAX,14.75 ML,,5/10/2017,58 Van Cortlandt Park E/E Mosholu Pkwy,,Bronx,10458 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,18 OZ,,5/11/2017,58 Sedgwick Ave / Dickerson Ave,,Bronx,10463 1.5 percent,,Sedgwick Malls Greenstreets
000524‐00579,ROUNDUP PROMAX,60 ML,,5/11/2017,58 Van Cortlandt Park S/Broadway/W 242 St,,Bronx,10471 1.5 percent,,Van Cortlandt Park Broadway Malls
000524‐00579,ROUNDUP PROMAX,60 ML,,5/11/2017,58 Van Cortlandt Park South/Broadway,,Bronx,10471 1.5 percent,,Van Cortlandt Park Tail
