,epa_registration_number,product_name,qtty_used,units,date_of_application,address,place
0,000524-00579,Round Up ProMax,128.4,FL,7/1/2018,Morningside Ave btw 110th  123rd street,Morningside Park
1,000524-00579,Round Up ProMax,94.16,FL,7/1/2018,Morningside Dr btw 110th  123rd street,Morningside Park
2,000524-00579,Round Up ProMax,119.84,FL,7/1/2018,St Nicholas Ave btw 128  141st st,St. Nicholas Park
3,000524-00579,Round Up ProMax,85.6,FL,7/1/2018,St Nicholas Terrace btw 139  135th st,St. Nicholas Park
4,000524-00579,Round Up ProMax,130.0,FL,8/9/2018,741 Fort Washington Ave,Fort Tryon Park
5,000524-00579,Round Up ProMax,16.0,FL,5/24/2018,Dyckman St  Henry Hudson,Inwood Hill Park
6,000524-00579,Round Up ProMax,7.5,FL,5/30/2018,Pinehurst  West 190th,Bennett Park
7,000524-00579,Round Up ProMax,8.0,FL,5/30/2018,Broadway and West 204th St,Dyckman House Musuem
8,000524-00579,Round Up ProMax,60.0,FL,5/30/2018,Broadway between Riverside Dr and Bennet,Fort Tryon Park
9,000524-00579,Round Up ProMax,40.0,FL,5/30/2018,Payson to Seaman Ave,Inwood Hill Park
10,000524-00579,Round Up ProMax,12.0,FL,5/30/2018,Broadway and Isham Alley,Isham Park
11,000524-00579,Round Up ProMax,7.5,FL,5/30/2018,Fort Washington Ave  Haven Ave,J. Hood Wright Park
12,000524-00579,Round Up ProMax,20.0,FL,6/5/2018,741 Fort Washington Ave,Fort Tryon Park
13,000524-00579,Round Up ProMax,16.0,FL,7/30/2018,741 Fort Washington Ave,Fort Tryon Park
14,000524-00579,Round Up ProMax,8.0,FL,7/30/2018,W160th and Edgecomb,Highbridge Park
15,000524-00579,Round Up ProMax,24.0,FL,8/2/2018,Edgecomb btw 155th and 158th St,Highbridge Park
16,000524-00579,Round Up ProMax,12.0,FL,8/2/2018,Hudson River  Dyckman,Inwood Hill Park
17,000524-00579,Round Up ProMax,16.0,FL,8/9/2018,Riverside Dr btw 155  158th street,Greenstreet
18,000524-00579,Round Up ProMax,4.0,FL,8/9/2018,W161st St btw St. Nicholas and Amsterdam,Greenstreet
19,000524-00579,Round Up ProMax,4.0,FL,8/9/2018,W168st St btw St. Nicholas and Amsterdam,Mitchel Square
20,000524-00579,Round Up ProMax,2.0,FL,8/21/2018,Edgecombe and 157th street,Bushman Steps
21,000524-00579,Round Up ProMax,10.0,FL,8/21/2018,741 Fort Washington Ave,Fort Tryon Park
22,000524-00579,Round Up ProMax,48.0,FL,8/21/2018,189 to 190th and Broadway,Gorman Park
23,062719-00324,GLYPRO,4.0,FL,8/21/2018,Salt Marsh,Inwood Hill Park
24,000524-00579,Round Up ProMax,16.0,FL,8/21/2018,Edgecomb AveJumel Terr,Morris Jumel Park
25,000524-00579,Round Up ProMax,8.0,FL,6/5/2018,Fort Washington Ave inside park at stair,Fort Tryon Park
26,000524-00579,Round Up ProMax,2.0,FL,6/5/2018,Linden Terrace Bed,Fort Tryon Park
27,000524-00579,Round Up ProMax,6.0,FL,6/5/2018,Lower staircase leading to cloisters,Fort Tryon Park
28,000524-00579,Round Up ProMax,24.0,FL,6/6/2018,Dyckman Bike Run Switch,Fort Washington Park
29,000524-00579,Round Up ProMax,24.0,FL,6/11/2018,173  Fort Washington Ave,J. Hood Wright Park
30,000524-00579,Round Up ProMax,16.0,FL,6/12/2018,173  Fort Washington Ave,J. Hood Wright Park
31,000524-00579,Round Up ProMax,42.8,FL,7/16/2018,135th between Madsion  5th Ave,Abraham Lincoln Playground
32,000524-00579,Round Up ProMax,21.4,FL,7/16/2018,Lexington btw 128  129th St,Alice Kornegay Triangle
33,000524-00579,Round Up ProMax,17.12,FL,7/16/2018,120th  Sylvan Place,Harlem Art Park
34,000524-00579,Round Up ProMax,29.86,FL,7/16/2018,128th btw 2nd  3rd Ave,Harlem River Park
35,000524-00579,Round Up ProMax,171.2,FL,7/16/2018,124-120th btw Mount Morris  Madison Ave,Marcus Garvey Park
36,000524-00579,Round Up ProMax,38.52,FL,7/16/2018,Park Ave Btw 120th  121st,McCabe Field
37,000524-00579,Round Up ProMax,77.04,FL,7/16/2018,Madison ave btw 130th  131st st,Moore Playground
38,000524-00579,Round Up ProMax,29.96,FL,7/16/2018,Hells Gate,Randalls Island
39,000524-00579,Round Up ProMax,42.8,FL,7/16/2018,122  123 btw Lexington  3rd Ave,Ronald McNair Playground
40,000524-00579,Round Up ProMax,5.36,FL,6/30/2018,York Ave btw E 60 E61st,Twenty-Four Sycamores Park
41,000524-00579,Round Up ProMax,149.8,FL,7/1/2018,East End Ave Btw E84th  E90th St,Carl Schurz Park
42,000524-00579,Round Up ProMax,8.5,FL,7/1/2018,East 92nd  FDR,Dekovats Triangle
43,000524-00579,Round Up ProMax,64.2,FL,7/1/2018,East 76gh -E78th and FDR,John Jay Park
44,000524-00579,Round Up ProMax,21.4,FL,7/1/2018,Lexington Ave btw E95  E96th Street,Samuel Seabury Playground
45,000524-00579,Round Up ProMax,85.6,FL,7/1/2018,E 97th thru E95th btw fdr  1st Ave,Stanley Isaacs Playground
46,000524-00579,Round Up ProMax,214.0,FL,9/29/2018,Stanton  Margin Street,Baruch Playground
47,000524-00579,Round Up ProMax,40.0,FL,5/31/2018,165th St Between Audubon and Amsterdam,McKenna Square
48,000524-00579,Round Up ProMax,24.0,FL,6/13/2018,Dykeman St  181st,Fort Washington Park
