,epa_registration_number,product_name,qtty_used,units,date_of_application,address,municipality,zip_code,dosage,place
0,52400579,Round Up Pro Max,16.0,FL,7/20/2018,Q066F Hoyt Ave/31ST/24RD,Astoria,11101,3.50%,Hoyt Playground
1,52400579,Round Up Pro Max,16.0,FL,7/31/2018,Q392 Springfield Lane/149AVE/223ST,Laurelton,11413,3.5,Idlewild Park
2,52400579,Round Up Pro Max,16.0,FL,7/10/2018,"Q300 ""Lawrence St,elder Ave,kissena Blvd""",Ozone Park,11416,3.5,Kissena Corridor Park
3,52400579,Round Up Pro Max,42.0,FL,8/30/2018,Q010A Cross island PKWY bet. Utopia PKWY and Totten AVE,Whitestone,11359,3.5,Little Bay Park
4,52400579,Round Up Pro Max,16.0,FL,8/28/2018,Q415 37AVE/112ST/38AVE,Corona,11368,3.5,Louis Armstrong Playground
5,52400579,Round Up Pro Max,42.0,FL,8/28/2018,Q366 76ST/25AVE/75ST,East Elmhurst,11370,3.5,Louis C. Moser Playground
6,52400579,Round Up Pro Max,24.0,FL,7/31/2018,Q369 248ST/Marathon PKWY/37AVE,Bayside,11359,3.5,Louis Pasteur Park
7,52400579,Round Up Pro Max,24.0,FL,7/5/2018,"Q364 ""211 & Oceana Sts, 46 Ave""",Flushing,11355,3.5,Marie Curie Playground
8,52400579,Round Up Pro Max,42.0,FL,8/27/2018,Q363 93ST/94ST/Northern BLVD,Jackson Heights,11372,3.5,Northern Playground
9,52400579,Round Up Pro Max,32.0,FL,7/20/2018,Q298 20AVE/48ST/21AVE,Astoria,11101,3.5,Paul Raimonda Playground
10,52400579,Round Up Pro Max,16.0,FL,8/28/2018,"Q362 ""90 St, Btw Northern Blvd & 32 Ave""",East Elmhurst,11370,3.5,Playground Ninety
11,52400579,Round Up Pro Max,16.0,FL,7/18/2018,Q377 62AVE/Yellowstone BLVD/LIE,Forest Hills,11373,3.5,Playground Sixty-Two LXII
12,52400579,Round Up Pro Max,16.0,FL,6/27/2018,Q333 21ST/34AVE/35AVE,Long Island City,11101,3.5,Ravenswood Playground
13,52400579,Round Up Pro Max,49.0,FL,7/18/2018,357B Hoarace Harding EXPWY/99ST/102ST,Forest Hills,11373,3.5,Real Good Park
